isoform,arm,n_seeds,ST-RAE_mean,ST-RAE_std,MAE_mean,MAE_std,R2_mean,R2_std,Spearman_R_mean,Spearman_R_std
CYP1A2,baseline,3,0.7995457008431005,0.01445108938802095,0.6663279179202429,0.009055141620662297,0.27040337358365163,0.02454953388066914,0.5140601249214852,0.014961634577576408
CYP1A2,residual,3,0.7938953129982765,0.0019737450077106197,0.6617843753790926,0.011164118555763734,0.28446403590812747,0.022280615169150437,0.5260967611885815,0.02996310667437838
CYP1A2,random,3,0.7925234065514508,0.019253312260403194,0.6642432228624573,0.017091825203314634,0.2757934006840869,0.040929904185407553,0.5263651639404128,0.04221961742896767
CYP2C9,baseline,3,0.7141788645508806,0.015770246206870876,0.5315100616955304,0.00409292491582309,0.3524359461566647,0.012986431015451938,0.576690594136994,0.022140295817757796
CYP2C9,residual,3,0.7392790757074046,0.03418940791763095,0.5440372022378989,0.003876593288749543,0.3326836926339831,0.018556088800135432,0.5630848731167538,0.013446543055099697
CYP2C9,random,3,0.7251222218640284,0.038502350314147,0.5371531709206692,0.004362376202427612,0.34725980526654093,0.016927759689694313,0.5761098072144988,0.009597903780790664
CYP2D6,baseline,3,0.9599414271513655,0.06258157739443537,0.6022833406270508,0.027491521702606447,0.12506422010360332,0.054496135158756426,0.40561444058810087,0.021956948145378352
CYP2D6,residual,3,0.9361760574211191,0.02486920838658675,0.5943987974265266,0.013699042936193258,0.11716394642880201,0.027613725651110824,0.4190334274772973,0.01917670310035043
CYP2D6,random,3,0.9639183196860325,0.0600603927378899,0.6039516030008678,0.0284730801253371,0.12349248348899834,0.03271821787463216,0.4133779204311902,0.011232950102435335
CYP3A4,baseline,3,0.52232121427226,0.03127736217487023,0.5458763069547858,0.0205667619506119,0.5915854293915187,0.017405836386368896,0.779604646769139,0.015419589939923657
CYP3A4,residual,3,0.48744023916814166,0.015618061407698945,0.5305882093783282,0.014025703366651987,0.6122430007188079,0.022463756087831754,0.7858367961288474,0.01173699814289339
CYP3A4,random,3,0.5205895606920744,0.035220057466530605,0.54440746028426,0.01869437862314205,0.5937760093268301,0.03012581097584163,0.7763088999656241,0.017447446333918214
