isoform,baseline_seed_floor_r,residual_vs_baseline_mean_r,random_vs_baseline_mean_r,residual_minus_random_r
CYP1A2,0.871512421200452,0.9511289897887751,0.9543224470870891,-0.0031934572983139953
CYP2C9,0.9097960354402638,0.9678989235225078,0.969855007963253,-0.0019560844407451317
CYP3A4,0.9102142925118493,0.9685933831376422,0.9679757331850546,0.0006176499525876178
