epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,13,,,0.9409924745559692,0.9409924745559692
0,13,0.9844545125961304,,,
1,27,,,0.7961486577987671,0.7961486577987671
1,27,0.8148579597473145,,,
2,41,,,0.7447956800460815,0.7447956800460815
2,41,0.5076677203178406,,,
3,49,,0.26772889494895935,,
3,55,,,0.6491013765335083,0.6491013765335083
3,55,0.3173719346523285,,,
4,69,,,0.7484501600265503,0.7484501600265503
4,69,0.1644039899110794,,,
5,83,,,0.7028295993804932,0.7028295993804932
5,83,0.08967005461454391,,,
6,97,,,0.7142789363861084,0.7142789363861084
6,97,0.046486515551805496,,,
7,99,,0.026699764654040337,,
7,111,,,0.6940765380859375,0.6940765380859375
7,111,0.03252730891108513,,,
8,125,,,0.6865555644035339,0.6865555644035339
8,125,0.024986471980810165,,,
