isoform,source,n_pooled,rho,k,b,decomposed_R2,observed_R2,decomposed_minus_observed,R2_gap_from_perfect,scale_share_pct,bias_share_pct,corr_share_pct
CYP1A2,ensemble avg: chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf+ecfp4_narrow__lightgbm,7060,0.5157246877642836,0.42763247193342885,0.0026831054877589134,0.25820451602451944,0.25389399034892873,0.004310525675590704,0.7417954839754806,1.046142590192205,0.0009704905481306429,98.95288691925965
CYP2C9,single model: chemprop_chemeleoninit (05),6425,0.6323264239191057,0.7074903050086496,-0.007718808359057944,0.3941275173633976,0.3838177395431736,0.010309777820223964,0.6058724826366024,0.9324749319951697,0.009833752842609029,99.05769131516222
CYP2D6,ensemble avg: chemeleon__rf+chemprop_chemeleoninit,7465,0.4185879970530659,0.3533552001757517,0.10089978347249627,0.16077982718366393,0.15599239259663938,0.004787434587024547,0.8392201728163361,0.5070561845715077,1.2131222097094059,98.27982160571909
CYP3A4,ensemble avg: chemprop_chemeleoninit+ecfp4_narrow__lightgbm,11675,0.776544578821549,0.7388844842214568,-0.00687396798236379,0.6015559487360266,0.599446590880349,0.0021093578556775627,0.3984440512639734,0.35595530182687274,0.011858988902624608,99.63218570927052
