n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.9133780476080796,chemeleon__rf,4,1
200,10,2,0.9116862209262495,chemeleon__rf,4,1
200,10,3,0.9035392410287837,chemeleon__rf,4,1
200,10,5,0.9040286075719643,chemeleon__rf,4,1
200,20,1,0.9085635962479366,chemeleon__rf,4,1
200,20,2,0.9151580090360312,chemeleon__rf,4,1
200,20,3,0.9038073615612261,chemeleon__rf,4,1
200,20,5,0.9027783364657394,chemeleon__rf,4,1
500,10,1,0.9066500870831695,chemeleon__rf,4,1
500,10,2,0.9060085338203836,chemeleon__rf,4,1
500,10,3,0.9025577025196694,chemeleon__rf,4,1
500,10,5,0.9020442706409278,chemeleon__rf,4,1
500,20,1,0.9049006868387336,chemeleon__rf,4,1
500,20,2,0.9058047299529477,chemeleon__rf,4,1
500,20,3,0.9005636841981803,chemeleon__rf,4,1
500,20,5,0.9016423407819537,chemeleon__rf,4,1
1000,10,1,0.9093087351698602,chemeleon__rf,4,1
1000,10,2,0.9105112322299002,chemeleon__rf,4,1
1000,10,3,0.9047219446741609,chemeleon__rf,4,1
1000,10,5,0.9083669366561188,chemeleon__rf,4,1
1000,20,1,0.9104753451921244,chemeleon__rf,4,1
1000,20,2,0.9099139423704563,chemeleon__rf,4,1
1000,20,3,0.90518137237761,chemeleon__rf,4,1
1000,20,5,0.9079609181497342,chemeleon__rf,4,1
