num_leaves,learning_rate,min_child_samples,inner_val_RAE,config,repeat,fold
15,0.01,5,0.9089513239474792,chemeleon__lightgbm,2,4
15,0.01,10,0.9085424364344803,chemeleon__lightgbm,2,4
15,0.01,20,0.9017805123087584,chemeleon__lightgbm,2,4
15,0.01,30,0.9023361634219309,chemeleon__lightgbm,2,4
15,0.03,5,0.9117000491579261,chemeleon__lightgbm,2,4
15,0.03,10,0.8987762025395037,chemeleon__lightgbm,2,4
15,0.03,20,0.894056486535085,chemeleon__lightgbm,2,4
15,0.03,30,0.894695084498535,chemeleon__lightgbm,2,4
15,0.05,5,0.8981316703226377,chemeleon__lightgbm,2,4
15,0.05,10,0.9052299457487809,chemeleon__lightgbm,2,4
15,0.05,20,0.8947993159666922,chemeleon__lightgbm,2,4
15,0.05,30,0.8983843097258727,chemeleon__lightgbm,2,4
15,0.1,5,0.9019550910927907,chemeleon__lightgbm,2,4
15,0.1,10,0.9169298662466154,chemeleon__lightgbm,2,4
15,0.1,20,0.8931128054838117,chemeleon__lightgbm,2,4
15,0.1,30,0.9088369401063956,chemeleon__lightgbm,2,4
31,0.01,5,0.9305928128416296,chemeleon__lightgbm,2,4
31,0.01,10,0.9074452073224771,chemeleon__lightgbm,2,4
31,0.01,20,0.8988626552520056,chemeleon__lightgbm,2,4
31,0.01,30,0.897708887020867,chemeleon__lightgbm,2,4
31,0.03,5,0.912378533411243,chemeleon__lightgbm,2,4
31,0.03,10,0.8961674508471996,chemeleon__lightgbm,2,4
31,0.03,20,0.8931168164376112,chemeleon__lightgbm,2,4
31,0.03,30,0.8939239133480316,chemeleon__lightgbm,2,4
31,0.05,5,0.9220626469588432,chemeleon__lightgbm,2,4
31,0.05,10,0.9069925933670335,chemeleon__lightgbm,2,4
31,0.05,20,0.889869334093385,chemeleon__lightgbm,2,4
31,0.05,30,0.8904319731823354,chemeleon__lightgbm,2,4
31,0.1,5,0.9099527564127979,chemeleon__lightgbm,2,4
31,0.1,10,0.9378904152162695,chemeleon__lightgbm,2,4
31,0.1,20,0.8981722758099958,chemeleon__lightgbm,2,4
31,0.1,30,0.9081978796030553,chemeleon__lightgbm,2,4
63,0.01,5,0.9322409100472427,chemeleon__lightgbm,2,4
63,0.01,10,0.9178908154009409,chemeleon__lightgbm,2,4
63,0.01,20,0.8952446512369497,chemeleon__lightgbm,2,4
63,0.01,30,0.897708887020867,chemeleon__lightgbm,2,4
63,0.03,5,0.9199530203778321,chemeleon__lightgbm,2,4
63,0.03,10,0.9163718211898959,chemeleon__lightgbm,2,4
63,0.03,20,0.9012552702855817,chemeleon__lightgbm,2,4
63,0.03,30,0.8939239133480316,chemeleon__lightgbm,2,4
63,0.05,5,0.9335850186309075,chemeleon__lightgbm,2,4
63,0.05,10,0.9094627521774814,chemeleon__lightgbm,2,4
63,0.05,20,0.9052945187018319,chemeleon__lightgbm,2,4
63,0.05,30,0.8904319731823354,chemeleon__lightgbm,2,4
63,0.1,5,0.9059764786302121,chemeleon__lightgbm,2,4
63,0.1,10,0.9517020523200217,chemeleon__lightgbm,2,4
63,0.1,20,0.8986854548071878,chemeleon__lightgbm,2,4
63,0.1,30,0.9081978796030553,chemeleon__lightgbm,2,4
127,0.01,5,0.9471087594957186,chemeleon__lightgbm,2,4
127,0.01,10,0.9132911373151013,chemeleon__lightgbm,2,4
127,0.01,20,0.8952446512369497,chemeleon__lightgbm,2,4
127,0.01,30,0.897708887020867,chemeleon__lightgbm,2,4
127,0.03,5,0.9470401618236977,chemeleon__lightgbm,2,4
127,0.03,10,0.9101788903959767,chemeleon__lightgbm,2,4
127,0.03,20,0.9012552702855817,chemeleon__lightgbm,2,4
127,0.03,30,0.8939239133480316,chemeleon__lightgbm,2,4
127,0.05,5,0.9487509049853837,chemeleon__lightgbm,2,4
127,0.05,10,0.9050316945136831,chemeleon__lightgbm,2,4
127,0.05,20,0.9052945187018319,chemeleon__lightgbm,2,4
127,0.05,30,0.8904319731823354,chemeleon__lightgbm,2,4
127,0.1,5,0.9293689422836785,chemeleon__lightgbm,2,4
127,0.1,10,0.9502768284736466,chemeleon__lightgbm,2,4
127,0.1,20,0.8986854548071878,chemeleon__lightgbm,2,4
127,0.1,30,0.9081978796030553,chemeleon__lightgbm,2,4
