n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.906931393765454,chemeleon__rf,3,3
200,10,2,0.9100054319418958,chemeleon__rf,3,3
200,10,3,0.9104511253845383,chemeleon__rf,3,3
200,10,5,0.9081082598749275,chemeleon__rf,3,3
200,20,1,0.8989782186685624,chemeleon__rf,3,3
200,20,2,0.9085878123206016,chemeleon__rf,3,3
200,20,3,0.9078321200289383,chemeleon__rf,3,3
200,20,5,0.9087547255600348,chemeleon__rf,3,3
500,10,1,0.9087270047330507,chemeleon__rf,3,3
500,10,2,0.9079695019715733,chemeleon__rf,3,3
500,10,3,0.9078641273028288,chemeleon__rf,3,3
500,10,5,0.9006321120954162,chemeleon__rf,3,3
500,20,1,0.9030628305032943,chemeleon__rf,3,3
500,20,2,0.9085388944273847,chemeleon__rf,3,3
500,20,3,0.9077361178018112,chemeleon__rf,3,3
500,20,5,0.9015805296887328,chemeleon__rf,3,3
1000,10,1,0.9112481925299145,chemeleon__rf,3,3
1000,10,2,0.9111777615951309,chemeleon__rf,3,3
1000,10,3,0.907070908310332,chemeleon__rf,3,3
1000,10,5,0.9010765588272209,chemeleon__rf,3,3
1000,20,1,0.9072037836723696,chemeleon__rf,3,3
1000,20,2,0.9114208897507207,chemeleon__rf,3,3
1000,20,3,0.9076297472377978,chemeleon__rf,3,3
1000,20,5,0.9016080872923768,chemeleon__rf,3,3
