num_leaves,learning_rate,min_child_samples,inner_val_RAE,config,repeat,fold
15,0.01,5,0.9453752688517532,chemeleon__lightgbm,1,3
15,0.01,10,0.9332265940528546,chemeleon__lightgbm,1,3
15,0.01,20,0.927247479430742,chemeleon__lightgbm,1,3
15,0.01,30,0.9345180790794553,chemeleon__lightgbm,1,3
15,0.03,5,0.9456573551974401,chemeleon__lightgbm,1,3
15,0.03,10,0.9326365938148944,chemeleon__lightgbm,1,3
15,0.03,20,0.9315891083385538,chemeleon__lightgbm,1,3
15,0.03,30,0.9332104952499982,chemeleon__lightgbm,1,3
15,0.05,5,0.9477669481050428,chemeleon__lightgbm,1,3
15,0.05,10,0.9318300109388995,chemeleon__lightgbm,1,3
15,0.05,20,0.9254044804970687,chemeleon__lightgbm,1,3
15,0.05,30,0.9338097037353629,chemeleon__lightgbm,1,3
15,0.1,5,0.9388706105960722,chemeleon__lightgbm,1,3
15,0.1,10,0.9292714780415952,chemeleon__lightgbm,1,3
15,0.1,20,0.9306878819659358,chemeleon__lightgbm,1,3
15,0.1,30,0.9546276066391465,chemeleon__lightgbm,1,3
31,0.01,5,0.9667234675416113,chemeleon__lightgbm,1,3
31,0.01,10,0.9536248410634034,chemeleon__lightgbm,1,3
31,0.01,20,0.9340111426608537,chemeleon__lightgbm,1,3
31,0.01,30,0.9360681386420052,chemeleon__lightgbm,1,3
31,0.03,5,0.9712578610493463,chemeleon__lightgbm,1,3
31,0.03,10,0.9550796044496571,chemeleon__lightgbm,1,3
31,0.03,20,0.9363758248259297,chemeleon__lightgbm,1,3
31,0.03,30,0.9343856131974816,chemeleon__lightgbm,1,3
31,0.05,5,0.9565914326321552,chemeleon__lightgbm,1,3
31,0.05,10,0.9594373439607866,chemeleon__lightgbm,1,3
31,0.05,20,0.9294370631215845,chemeleon__lightgbm,1,3
31,0.05,30,0.9456028758650927,chemeleon__lightgbm,1,3
31,0.1,5,0.9720608609505187,chemeleon__lightgbm,1,3
31,0.1,10,0.9548509118184355,chemeleon__lightgbm,1,3
31,0.1,20,0.9305208900018107,chemeleon__lightgbm,1,3
31,0.1,30,0.9357505313768196,chemeleon__lightgbm,1,3
63,0.01,5,0.9683712566480476,chemeleon__lightgbm,1,3
63,0.01,10,0.9457434177759428,chemeleon__lightgbm,1,3
63,0.01,20,0.9294262544220284,chemeleon__lightgbm,1,3
63,0.01,30,0.9360681386420052,chemeleon__lightgbm,1,3
63,0.03,5,0.9729639317118239,chemeleon__lightgbm,1,3
63,0.03,10,0.9521352452257162,chemeleon__lightgbm,1,3
63,0.03,20,0.9207934772277645,chemeleon__lightgbm,1,3
63,0.03,30,0.9343856131974816,chemeleon__lightgbm,1,3
63,0.05,5,0.9737386525064597,chemeleon__lightgbm,1,3
63,0.05,10,0.9520715973837982,chemeleon__lightgbm,1,3
63,0.05,20,0.9271125988374703,chemeleon__lightgbm,1,3
63,0.05,30,0.9456028758650927,chemeleon__lightgbm,1,3
63,0.1,5,0.9719476320973839,chemeleon__lightgbm,1,3
63,0.1,10,0.9562442183781065,chemeleon__lightgbm,1,3
63,0.1,20,0.924819134903025,chemeleon__lightgbm,1,3
63,0.1,30,0.9357505313768196,chemeleon__lightgbm,1,3
127,0.01,5,0.9752313846246462,chemeleon__lightgbm,1,3
127,0.01,10,0.9572624377491001,chemeleon__lightgbm,1,3
127,0.01,20,0.9294262544220284,chemeleon__lightgbm,1,3
127,0.01,30,0.9360681386420052,chemeleon__lightgbm,1,3
127,0.03,5,0.9801009893328277,chemeleon__lightgbm,1,3
127,0.03,10,0.9434948925523856,chemeleon__lightgbm,1,3
127,0.03,20,0.9207934772277645,chemeleon__lightgbm,1,3
127,0.03,30,0.9343856131974816,chemeleon__lightgbm,1,3
127,0.05,5,0.973766617094398,chemeleon__lightgbm,1,3
127,0.05,10,0.9535469918069817,chemeleon__lightgbm,1,3
127,0.05,20,0.9271125988374703,chemeleon__lightgbm,1,3
127,0.05,30,0.9456028758650927,chemeleon__lightgbm,1,3
127,0.1,5,0.9682164723277108,chemeleon__lightgbm,1,3
127,0.1,10,0.9578569128248982,chemeleon__lightgbm,1,3
127,0.1,20,0.924819134903025,chemeleon__lightgbm,1,3
127,0.1,30,0.9357505313768196,chemeleon__lightgbm,1,3
