n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.9183924345272826,chemeleon__rf,4,4
200,10,2,0.9175201663158006,chemeleon__rf,4,4
200,10,3,0.9167048910972619,chemeleon__rf,4,4
200,10,5,0.9134796458537844,chemeleon__rf,4,4
200,20,1,0.915349745971123,chemeleon__rf,4,4
200,20,2,0.9134914911823985,chemeleon__rf,4,4
200,20,3,0.9085590603232429,chemeleon__rf,4,4
200,20,5,0.9128230725137888,chemeleon__rf,4,4
500,10,1,0.9196736299083533,chemeleon__rf,4,4
500,10,2,0.9203680992270066,chemeleon__rf,4,4
500,10,3,0.9205227564759749,chemeleon__rf,4,4
500,10,5,0.9170174420475707,chemeleon__rf,4,4
500,20,1,0.9156366643267927,chemeleon__rf,4,4
500,20,2,0.9192993742585842,chemeleon__rf,4,4
500,20,3,0.9166860465565586,chemeleon__rf,4,4
500,20,5,0.9176176637110497,chemeleon__rf,4,4
1000,10,1,0.9161961491295616,chemeleon__rf,4,4
1000,10,2,0.916263645386117,chemeleon__rf,4,4
1000,10,3,0.9200336252337219,chemeleon__rf,4,4
1000,10,5,0.9194762285389014,chemeleon__rf,4,4
1000,20,1,0.9138000682654194,chemeleon__rf,4,4
1000,20,2,0.917500149794182,chemeleon__rf,4,4
1000,20,3,0.9168841050140976,chemeleon__rf,4,4
1000,20,5,0.9198161595922273,chemeleon__rf,4,4
