n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.9679832731054102,chemeleon__rf,3,2
200,10,2,0.9636803220865535,chemeleon__rf,3,2
200,10,3,0.9591178176429073,chemeleon__rf,3,2
200,10,5,0.9531553868049726,chemeleon__rf,3,2
200,20,1,0.9706967105853389,chemeleon__rf,3,2
200,20,2,0.9644246642063421,chemeleon__rf,3,2
200,20,3,0.9600286230807497,chemeleon__rf,3,2
200,20,5,0.9548773145792002,chemeleon__rf,3,2
500,10,1,0.9533739220907481,chemeleon__rf,3,2
500,10,2,0.948232541200163,chemeleon__rf,3,2
500,10,3,0.9518413779289294,chemeleon__rf,3,2
500,10,5,0.9506992378810377,chemeleon__rf,3,2
500,20,1,0.9547941147000235,chemeleon__rf,3,2
500,20,2,0.9510743099027802,chemeleon__rf,3,2
500,20,3,0.9490610758815071,chemeleon__rf,3,2
500,20,5,0.9513133335945373,chemeleon__rf,3,2
1000,10,1,0.9509782865691935,chemeleon__rf,3,2
1000,10,2,0.9501853372285807,chemeleon__rf,3,2
1000,10,3,0.9466464018415113,chemeleon__rf,3,2
1000,10,5,0.9454303811370927,chemeleon__rf,3,2
1000,20,1,0.9507774897883076,chemeleon__rf,3,2
1000,20,2,0.9496798344234118,chemeleon__rf,3,2
1000,20,3,0.9441891991639415,chemeleon__rf,3,2
1000,20,5,0.944313115616492,chemeleon__rf,3,2
