n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.891089158524136,chemeleon__rf,1,2
200,10,2,0.8880641206159102,chemeleon__rf,1,2
200,10,3,0.8877976972062012,chemeleon__rf,1,2
200,10,5,0.881931104744474,chemeleon__rf,1,2
200,20,1,0.8848477479573357,chemeleon__rf,1,2
200,20,2,0.8894487860400322,chemeleon__rf,1,2
200,20,3,0.8956913551770139,chemeleon__rf,1,2
200,20,5,0.8806004625250561,chemeleon__rf,1,2
500,10,1,0.8867367208470767,chemeleon__rf,1,2
500,10,2,0.8900633905886416,chemeleon__rf,1,2
500,10,3,0.8822617965599622,chemeleon__rf,1,2
500,10,5,0.8772493956872821,chemeleon__rf,1,2
500,20,1,0.889926886565522,chemeleon__rf,1,2
500,20,2,0.8887678880077802,chemeleon__rf,1,2
500,20,3,0.8885486918983442,chemeleon__rf,1,2
500,20,5,0.8787980535496431,chemeleon__rf,1,2
1000,10,1,0.887975130498259,chemeleon__rf,1,2
1000,10,2,0.890901984340073,chemeleon__rf,1,2
1000,10,3,0.8810500391812606,chemeleon__rf,1,2
1000,10,5,0.8753972255188952,chemeleon__rf,1,2
1000,20,1,0.8915234541027696,chemeleon__rf,1,2
1000,20,2,0.8908046187778437,chemeleon__rf,1,2
1000,20,3,0.8833441163832616,chemeleon__rf,1,2
1000,20,5,0.8757920327650884,chemeleon__rf,1,2
