n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.9221112391791829,chemeleon__rf,1,0
200,10,2,0.9182998408925277,chemeleon__rf,1,0
200,10,3,0.9219161938373411,chemeleon__rf,1,0
200,10,5,0.9102384392289474,chemeleon__rf,1,0
200,20,1,0.9224962438831531,chemeleon__rf,1,0
200,20,2,0.915402594387535,chemeleon__rf,1,0
200,20,3,0.9288822102333335,chemeleon__rf,1,0
200,20,5,0.9159793346080396,chemeleon__rf,1,0
500,10,1,0.9132056999023359,chemeleon__rf,1,0
500,10,2,0.9134642999154657,chemeleon__rf,1,0
500,10,3,0.9201404881334877,chemeleon__rf,1,0
500,10,5,0.9126475290867225,chemeleon__rf,1,0
500,20,1,0.9170768780348221,chemeleon__rf,1,0
500,20,2,0.9099816285744113,chemeleon__rf,1,0
500,20,3,0.9231686716267518,chemeleon__rf,1,0
500,20,5,0.9160675950168935,chemeleon__rf,1,0
1000,10,1,0.9111915571385136,chemeleon__rf,1,0
1000,10,2,0.911645403960087,chemeleon__rf,1,0
1000,10,3,0.9147322536251822,chemeleon__rf,1,0
1000,10,5,0.9097010145920132,chemeleon__rf,1,0
1000,20,1,0.9136205147721174,chemeleon__rf,1,0
1000,20,2,0.910325290509177,chemeleon__rf,1,0
1000,20,3,0.9202558051444064,chemeleon__rf,1,0
1000,20,5,0.9131564560272462,chemeleon__rf,1,0
