n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.9459092154061589,chemeleon__rf,0,2
200,10,2,0.9437484306158482,chemeleon__rf,0,2
200,10,3,0.9461929313801495,chemeleon__rf,0,2
200,10,5,0.9483367118538832,chemeleon__rf,0,2
200,20,1,0.9539246997112933,chemeleon__rf,0,2
200,20,2,0.9536599736741046,chemeleon__rf,0,2
200,20,3,0.9503363563028429,chemeleon__rf,0,2
200,20,5,0.9518232119349328,chemeleon__rf,0,2
500,10,1,0.9435547964643759,chemeleon__rf,0,2
500,10,2,0.9416911073769314,chemeleon__rf,0,2
500,10,3,0.9449905310462449,chemeleon__rf,0,2
500,10,5,0.9431080547611987,chemeleon__rf,0,2
500,20,1,0.9442107676659821,chemeleon__rf,0,2
500,20,2,0.9471606582878885,chemeleon__rf,0,2
500,20,3,0.947582861250631,chemeleon__rf,0,2
500,20,5,0.9434738557502705,chemeleon__rf,0,2
1000,10,1,0.9458355508032172,chemeleon__rf,0,2
1000,10,2,0.9469584703022306,chemeleon__rf,0,2
1000,10,3,0.9468232847639858,chemeleon__rf,0,2
1000,10,5,0.9462450904816841,chemeleon__rf,0,2
1000,20,1,0.9472934408000603,chemeleon__rf,0,2
1000,20,2,0.948899943436618,chemeleon__rf,0,2
1000,20,3,0.948363319979215,chemeleon__rf,0,2
1000,20,5,0.9471128006361034,chemeleon__rf,0,2
