n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.9184672315872898,chemeleon__rf,0,0
200,10,2,0.9196853983839909,chemeleon__rf,0,0
200,10,3,0.9120603642402249,chemeleon__rf,0,0
200,10,5,0.9235485597689175,chemeleon__rf,0,0
200,20,1,0.9211821772772326,chemeleon__rf,0,0
200,20,2,0.9166789749955072,chemeleon__rf,0,0
200,20,3,0.9125929147040173,chemeleon__rf,0,0
200,20,5,0.922249420117128,chemeleon__rf,0,0
500,10,1,0.9120033726358867,chemeleon__rf,0,0
500,10,2,0.9099591752279536,chemeleon__rf,0,0
500,10,3,0.9091397172785479,chemeleon__rf,0,0
500,10,5,0.9164603077371433,chemeleon__rf,0,0
500,20,1,0.9092346480195227,chemeleon__rf,0,0
500,20,2,0.9058696017668704,chemeleon__rf,0,0
500,20,3,0.9072024852543498,chemeleon__rf,0,0
500,20,5,0.9128775238087651,chemeleon__rf,0,0
1000,10,1,0.9085114413543567,chemeleon__rf,0,0
1000,10,2,0.9072644104609783,chemeleon__rf,0,0
1000,10,3,0.9087096096464345,chemeleon__rf,0,0
1000,10,5,0.9123426963789424,chemeleon__rf,0,0
1000,20,1,0.9078921124684611,chemeleon__rf,0,0
1000,20,2,0.9037080034032047,chemeleon__rf,0,0
1000,20,3,0.9087974643855569,chemeleon__rf,0,0
1000,20,5,0.9104476640530353,chemeleon__rf,0,0
