n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.8630504802204019,chemeleon__rf,1,4
200,10,2,0.8627492980727705,chemeleon__rf,1,4
200,10,3,0.8606298012218855,chemeleon__rf,1,4
200,10,5,0.8753345676776335,chemeleon__rf,1,4
200,20,1,0.8739438180280589,chemeleon__rf,1,4
200,20,2,0.8707472987812639,chemeleon__rf,1,4
200,20,3,0.8690885309257038,chemeleon__rf,1,4
200,20,5,0.8750825336035994,chemeleon__rf,1,4
500,10,1,0.8678784660615089,chemeleon__rf,1,4
500,10,2,0.8693962675847786,chemeleon__rf,1,4
500,10,3,0.8656007577189608,chemeleon__rf,1,4
500,10,5,0.8735073791008608,chemeleon__rf,1,4
500,20,1,0.8713710459240128,chemeleon__rf,1,4
500,20,2,0.86844425882964,chemeleon__rf,1,4
500,20,3,0.8713947843630976,chemeleon__rf,1,4
500,20,5,0.8747977203473445,chemeleon__rf,1,4
1000,10,1,0.8612316315759392,chemeleon__rf,1,4
1000,10,2,0.864327182451198,chemeleon__rf,1,4
1000,10,3,0.8644103867516422,chemeleon__rf,1,4
1000,10,5,0.8698397349729031,chemeleon__rf,1,4
1000,20,1,0.864194415974447,chemeleon__rf,1,4
1000,20,2,0.8649793061388268,chemeleon__rf,1,4
1000,20,3,0.8687925510791933,chemeleon__rf,1,4
1000,20,5,0.8698786506932069,chemeleon__rf,1,4
