num_leaves,learning_rate,min_child_samples,inner_val_RAE,config,repeat,fold
15,0.01,5,0.9614449632312292,chemeleon__lightgbm,2,0
15,0.01,10,0.951650443095883,chemeleon__lightgbm,2,0
15,0.01,20,0.9217442764490602,chemeleon__lightgbm,2,0
15,0.01,30,0.9254359838795161,chemeleon__lightgbm,2,0
15,0.03,5,0.9504617162025507,chemeleon__lightgbm,2,0
15,0.03,10,0.9503355622339154,chemeleon__lightgbm,2,0
15,0.03,20,0.927542691943083,chemeleon__lightgbm,2,0
15,0.03,30,0.9245012504940934,chemeleon__lightgbm,2,0
15,0.05,5,0.9561408307349791,chemeleon__lightgbm,2,0
15,0.05,10,0.9423363028723892,chemeleon__lightgbm,2,0
15,0.05,20,0.9200600536594232,chemeleon__lightgbm,2,0
15,0.05,30,0.9045510982844469,chemeleon__lightgbm,2,0
15,0.1,5,0.966294590306453,chemeleon__lightgbm,2,0
15,0.1,10,0.9501517781497932,chemeleon__lightgbm,2,0
15,0.1,20,0.9222063727913253,chemeleon__lightgbm,2,0
15,0.1,30,0.9301580882402741,chemeleon__lightgbm,2,0
31,0.01,5,0.9658929123460996,chemeleon__lightgbm,2,0
31,0.01,10,0.9500415187568354,chemeleon__lightgbm,2,0
31,0.01,20,0.9210258147991274,chemeleon__lightgbm,2,0
31,0.01,30,0.9224513130556848,chemeleon__lightgbm,2,0
31,0.03,5,0.9481998888630163,chemeleon__lightgbm,2,0
31,0.03,10,0.9570788173715744,chemeleon__lightgbm,2,0
31,0.03,20,0.9189161152921294,chemeleon__lightgbm,2,0
31,0.03,30,0.924073037776396,chemeleon__lightgbm,2,0
31,0.05,5,0.9659338269861572,chemeleon__lightgbm,2,0
31,0.05,10,0.9643496498513543,chemeleon__lightgbm,2,0
31,0.05,20,0.9188479944228066,chemeleon__lightgbm,2,0
31,0.05,30,0.9237966749107955,chemeleon__lightgbm,2,0
31,0.1,5,0.944055863178987,chemeleon__lightgbm,2,0
31,0.1,10,0.949688680800909,chemeleon__lightgbm,2,0
31,0.1,20,0.9233842414678063,chemeleon__lightgbm,2,0
31,0.1,30,0.9110105401102868,chemeleon__lightgbm,2,0
63,0.01,5,0.9944434107653126,chemeleon__lightgbm,2,0
63,0.01,10,0.9653752160999349,chemeleon__lightgbm,2,0
63,0.01,20,0.9281013180657298,chemeleon__lightgbm,2,0
63,0.01,30,0.9224513130556848,chemeleon__lightgbm,2,0
63,0.03,5,0.9941177091968116,chemeleon__lightgbm,2,0
63,0.03,10,0.9644436302916182,chemeleon__lightgbm,2,0
63,0.03,20,0.9211299141252979,chemeleon__lightgbm,2,0
63,0.03,30,0.924073037776396,chemeleon__lightgbm,2,0
63,0.05,5,0.9920764328287093,chemeleon__lightgbm,2,0
63,0.05,10,0.9669849906131509,chemeleon__lightgbm,2,0
63,0.05,20,0.9291779179938808,chemeleon__lightgbm,2,0
63,0.05,30,0.9237966749107955,chemeleon__lightgbm,2,0
63,0.1,5,0.9948088051970145,chemeleon__lightgbm,2,0
63,0.1,10,0.9538327377731263,chemeleon__lightgbm,2,0
63,0.1,20,0.9235534231271887,chemeleon__lightgbm,2,0
63,0.1,30,0.9110105401102868,chemeleon__lightgbm,2,0
127,0.01,5,1.0017318345892041,chemeleon__lightgbm,2,0
127,0.01,10,0.9582961264924328,chemeleon__lightgbm,2,0
127,0.01,20,0.9281013180657298,chemeleon__lightgbm,2,0
127,0.01,30,0.9224513130556848,chemeleon__lightgbm,2,0
127,0.03,5,1.0038669133580418,chemeleon__lightgbm,2,0
127,0.03,10,0.9628549369904617,chemeleon__lightgbm,2,0
127,0.03,20,0.9211299141252979,chemeleon__lightgbm,2,0
127,0.03,30,0.924073037776396,chemeleon__lightgbm,2,0
127,0.05,5,1.0043639604682248,chemeleon__lightgbm,2,0
127,0.05,10,0.9737361567889948,chemeleon__lightgbm,2,0
127,0.05,20,0.9291779179938808,chemeleon__lightgbm,2,0
127,0.05,30,0.9237966749107955,chemeleon__lightgbm,2,0
127,0.1,5,0.995396766592081,chemeleon__lightgbm,2,0
127,0.1,10,0.9877095663057246,chemeleon__lightgbm,2,0
127,0.1,20,0.9235534231271887,chemeleon__lightgbm,2,0
127,0.1,30,0.9110105401102868,chemeleon__lightgbm,2,0
