n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.8924705321249485,chemeleon__rf,4,0
200,10,2,0.8850638635598543,chemeleon__rf,4,0
200,10,3,0.8933766264722841,chemeleon__rf,4,0
200,10,5,0.8946650179337643,chemeleon__rf,4,0
200,20,1,0.8924808748647193,chemeleon__rf,4,0
200,20,2,0.8916413984801579,chemeleon__rf,4,0
200,20,3,0.8913522220715157,chemeleon__rf,4,0
200,20,5,0.8972995764393971,chemeleon__rf,4,0
500,10,1,0.8993132248282344,chemeleon__rf,4,0
500,10,2,0.8966089322989109,chemeleon__rf,4,0
500,10,3,0.8957408827952417,chemeleon__rf,4,0
500,10,5,0.8943226850974795,chemeleon__rf,4,0
500,20,1,0.8973319109461415,chemeleon__rf,4,0
500,20,2,0.8981583142757573,chemeleon__rf,4,0
500,20,3,0.8957143934820391,chemeleon__rf,4,0
500,20,5,0.892899863000051,chemeleon__rf,4,0
1000,10,1,0.8994074353708088,chemeleon__rf,4,0
1000,10,2,0.8976366536007225,chemeleon__rf,4,0
1000,10,3,0.8977589938227634,chemeleon__rf,4,0
1000,10,5,0.8963889450663242,chemeleon__rf,4,0
1000,20,1,0.898306219536711,chemeleon__rf,4,0
1000,20,2,0.8981784349727385,chemeleon__rf,4,0
1000,20,3,0.8963262006540533,chemeleon__rf,4,0
1000,20,5,0.8952144550472363,chemeleon__rf,4,0
