n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.8827698900357376,chemeleon__rf,3,1
200,10,2,0.8839518689345692,chemeleon__rf,3,1
200,10,3,0.8933190221295789,chemeleon__rf,3,1
200,10,5,0.8879159925304192,chemeleon__rf,3,1
200,20,1,0.8803914649563261,chemeleon__rf,3,1
200,20,2,0.8945281298569818,chemeleon__rf,3,1
200,20,3,0.8925060056536493,chemeleon__rf,3,1
200,20,5,0.886807019143727,chemeleon__rf,3,1
500,10,1,0.8847230892073908,chemeleon__rf,3,1
500,10,2,0.8824831727191643,chemeleon__rf,3,1
500,10,3,0.8879020632096591,chemeleon__rf,3,1
500,10,5,0.8872970381212024,chemeleon__rf,3,1
500,20,1,0.8817674502966142,chemeleon__rf,3,1
500,20,2,0.8902799109056818,chemeleon__rf,3,1
500,20,3,0.8899410940986394,chemeleon__rf,3,1
500,20,5,0.886744267897212,chemeleon__rf,3,1
1000,10,1,0.8816220338571844,chemeleon__rf,3,1
1000,10,2,0.8828233274233804,chemeleon__rf,3,1
1000,10,3,0.8869357361870522,chemeleon__rf,3,1
1000,10,5,0.8881759240035675,chemeleon__rf,3,1
1000,20,1,0.8808544815297547,chemeleon__rf,3,1
1000,20,2,0.8871489000472795,chemeleon__rf,3,1
1000,20,3,0.8902980715479515,chemeleon__rf,3,1
1000,20,5,0.8891366601513395,chemeleon__rf,3,1
