num_leaves,learning_rate,min_child_samples,inner_val_RAE,config,repeat,fold
15,0.01,5,0.9046391912529371,chemeleon__lightgbm,4,0
15,0.01,10,0.9125253168535804,chemeleon__lightgbm,4,0
15,0.01,20,0.9027436949542396,chemeleon__lightgbm,4,0
15,0.01,30,0.9083613947591487,chemeleon__lightgbm,4,0
15,0.03,5,0.9032956166503545,chemeleon__lightgbm,4,0
15,0.03,10,0.9076651709038025,chemeleon__lightgbm,4,0
15,0.03,20,0.8967093734076401,chemeleon__lightgbm,4,0
15,0.03,30,0.9006284476602844,chemeleon__lightgbm,4,0
15,0.05,5,0.8888958077434743,chemeleon__lightgbm,4,0
15,0.05,10,0.8989770338584209,chemeleon__lightgbm,4,0
15,0.05,20,0.8937503811167579,chemeleon__lightgbm,4,0
15,0.05,30,0.8832685553467663,chemeleon__lightgbm,4,0
15,0.1,5,0.8697726997077352,chemeleon__lightgbm,4,0
15,0.1,10,0.909816782291589,chemeleon__lightgbm,4,0
15,0.1,20,0.9076525343916843,chemeleon__lightgbm,4,0
15,0.1,30,0.8633010378276006,chemeleon__lightgbm,4,0
31,0.01,5,0.9227021745431819,chemeleon__lightgbm,4,0
31,0.01,10,0.8991579391026938,chemeleon__lightgbm,4,0
31,0.01,20,0.8917839186761363,chemeleon__lightgbm,4,0
31,0.01,30,0.903572260200349,chemeleon__lightgbm,4,0
31,0.03,5,0.8927318044322928,chemeleon__lightgbm,4,0
31,0.03,10,0.8992658197411284,chemeleon__lightgbm,4,0
31,0.03,20,0.8863483470724999,chemeleon__lightgbm,4,0
31,0.03,30,0.8936687520168047,chemeleon__lightgbm,4,0
31,0.05,5,0.9156571714979479,chemeleon__lightgbm,4,0
31,0.05,10,0.8916133036157325,chemeleon__lightgbm,4,0
31,0.05,20,0.8871418629374845,chemeleon__lightgbm,4,0
31,0.05,30,0.8907421343697669,chemeleon__lightgbm,4,0
31,0.1,5,0.9177506751258891,chemeleon__lightgbm,4,0
31,0.1,10,0.9131538672148908,chemeleon__lightgbm,4,0
31,0.1,20,0.8920844362047056,chemeleon__lightgbm,4,0
31,0.1,30,0.9013062713904405,chemeleon__lightgbm,4,0
63,0.01,5,0.93420469072512,chemeleon__lightgbm,4,0
63,0.01,10,0.907599155317768,chemeleon__lightgbm,4,0
63,0.01,20,0.8909162470923697,chemeleon__lightgbm,4,0
63,0.01,30,0.903572260200349,chemeleon__lightgbm,4,0
63,0.03,5,0.9150485052981232,chemeleon__lightgbm,4,0
63,0.03,10,0.8900443318885334,chemeleon__lightgbm,4,0
63,0.03,20,0.8953472972230408,chemeleon__lightgbm,4,0
63,0.03,30,0.8936687520168047,chemeleon__lightgbm,4,0
63,0.05,5,0.9195227631460081,chemeleon__lightgbm,4,0
63,0.05,10,0.9009200444191983,chemeleon__lightgbm,4,0
63,0.05,20,0.8866146934753251,chemeleon__lightgbm,4,0
63,0.05,30,0.8907421343697669,chemeleon__lightgbm,4,0
63,0.1,5,0.9427590393627131,chemeleon__lightgbm,4,0
63,0.1,10,0.8933619500504708,chemeleon__lightgbm,4,0
63,0.1,20,0.885990618493156,chemeleon__lightgbm,4,0
63,0.1,30,0.9013062713904405,chemeleon__lightgbm,4,0
127,0.01,5,0.9405410728483022,chemeleon__lightgbm,4,0
127,0.01,10,0.896319337085221,chemeleon__lightgbm,4,0
127,0.01,20,0.8909162470923697,chemeleon__lightgbm,4,0
127,0.01,30,0.903572260200349,chemeleon__lightgbm,4,0
127,0.03,5,0.9424642957802627,chemeleon__lightgbm,4,0
127,0.03,10,0.8942439567545986,chemeleon__lightgbm,4,0
127,0.03,20,0.8953472972230408,chemeleon__lightgbm,4,0
127,0.03,30,0.8936687520168047,chemeleon__lightgbm,4,0
127,0.05,5,0.9304150758560845,chemeleon__lightgbm,4,0
127,0.05,10,0.8962965464025725,chemeleon__lightgbm,4,0
127,0.05,20,0.8866146934753251,chemeleon__lightgbm,4,0
127,0.05,30,0.8907421343697669,chemeleon__lightgbm,4,0
127,0.1,5,0.9356314213913752,chemeleon__lightgbm,4,0
127,0.1,10,0.8969561717122643,chemeleon__lightgbm,4,0
127,0.1,20,0.885990618493156,chemeleon__lightgbm,4,0
127,0.1,30,0.9013062713904405,chemeleon__lightgbm,4,0
