n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.9508264513631208,chemeleon__rf,2,0
200,10,2,0.9522584225056955,chemeleon__rf,2,0
200,10,3,0.9483713375544812,chemeleon__rf,2,0
200,10,5,0.9338499374098498,chemeleon__rf,2,0
200,20,1,0.9507955803145901,chemeleon__rf,2,0
200,20,2,0.9529413199447184,chemeleon__rf,2,0
200,20,3,0.9543279717831418,chemeleon__rf,2,0
200,20,5,0.9355036587673039,chemeleon__rf,2,0
500,10,1,0.9576013668173337,chemeleon__rf,2,0
500,10,2,0.9568226018864171,chemeleon__rf,2,0
500,10,3,0.9487794282983495,chemeleon__rf,2,0
500,10,5,0.9437885223019722,chemeleon__rf,2,0
500,20,1,0.958946036898618,chemeleon__rf,2,0
500,20,2,0.9588786436504982,chemeleon__rf,2,0
500,20,3,0.9548624444179938,chemeleon__rf,2,0
500,20,5,0.9476643720215546,chemeleon__rf,2,0
1000,10,1,0.9519841590044769,chemeleon__rf,2,0
1000,10,2,0.9544206191235771,chemeleon__rf,2,0
1000,10,3,0.9523876272350082,chemeleon__rf,2,0
1000,10,5,0.9446941774137407,chemeleon__rf,2,0
1000,20,1,0.9565168123115749,chemeleon__rf,2,0
1000,20,2,0.9583299752462636,chemeleon__rf,2,0
1000,20,3,0.9583955054425155,chemeleon__rf,2,0
1000,20,5,0.948083625582848,chemeleon__rf,2,0
