n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.9320306071506274,chemeleon__rf,2,3
200,10,2,0.9227479043698434,chemeleon__rf,2,3
200,10,3,0.9250947866125182,chemeleon__rf,2,3
200,10,5,0.9217704661230023,chemeleon__rf,2,3
200,20,1,0.9305182577363558,chemeleon__rf,2,3
200,20,2,0.9126549196578656,chemeleon__rf,2,3
200,20,3,0.9220274120698704,chemeleon__rf,2,3
200,20,5,0.9216739692888823,chemeleon__rf,2,3
500,10,1,0.9258762331531843,chemeleon__rf,2,3
500,10,2,0.9218464163271826,chemeleon__rf,2,3
500,10,3,0.9197905420658918,chemeleon__rf,2,3
500,10,5,0.9188211375044041,chemeleon__rf,2,3
500,20,1,0.9274672483022111,chemeleon__rf,2,3
500,20,2,0.9176943783012452,chemeleon__rf,2,3
500,20,3,0.9161137359142815,chemeleon__rf,2,3
500,20,5,0.918849219648432,chemeleon__rf,2,3
1000,10,1,0.920556116230088,chemeleon__rf,2,3
1000,10,2,0.9194087436664585,chemeleon__rf,2,3
1000,10,3,0.9208524379916442,chemeleon__rf,2,3
1000,10,5,0.9157337908503581,chemeleon__rf,2,3
1000,20,1,0.924307398547817,chemeleon__rf,2,3
1000,20,2,0.9197949427728342,chemeleon__rf,2,3
1000,20,3,0.9189440617620471,chemeleon__rf,2,3
1000,20,5,0.9157627714698605,chemeleon__rf,2,3
