num_leaves,learning_rate,min_child_samples,inner_val_RAE,config,repeat,fold
15,0.01,5,0.9119426705676912,chemeleon__lightgbm,1,2
15,0.01,10,0.9030042804966538,chemeleon__lightgbm,1,2
15,0.01,20,0.9021182681208998,chemeleon__lightgbm,1,2
15,0.01,30,0.9078094514004977,chemeleon__lightgbm,1,2
15,0.03,5,0.8727638944211161,chemeleon__lightgbm,1,2
15,0.03,10,0.8908840493498366,chemeleon__lightgbm,1,2
15,0.03,20,0.8788471285781659,chemeleon__lightgbm,1,2
15,0.03,30,0.8714326798381612,chemeleon__lightgbm,1,2
15,0.05,5,0.8906791025770159,chemeleon__lightgbm,1,2
15,0.05,10,0.8822522906353815,chemeleon__lightgbm,1,2
15,0.05,20,0.8689734854351161,chemeleon__lightgbm,1,2
15,0.05,30,0.8708530057360192,chemeleon__lightgbm,1,2
15,0.1,5,0.9018226819912608,chemeleon__lightgbm,1,2
15,0.1,10,0.8756034500087659,chemeleon__lightgbm,1,2
15,0.1,20,0.8819032778936812,chemeleon__lightgbm,1,2
15,0.1,30,0.8526522472851681,chemeleon__lightgbm,1,2
31,0.01,5,0.9098834921338517,chemeleon__lightgbm,1,2
31,0.01,10,0.8937294368395596,chemeleon__lightgbm,1,2
31,0.01,20,0.8944233120562682,chemeleon__lightgbm,1,2
31,0.01,30,0.8991595957273565,chemeleon__lightgbm,1,2
31,0.03,5,0.8747501187869392,chemeleon__lightgbm,1,2
31,0.03,10,0.8695498007415704,chemeleon__lightgbm,1,2
31,0.03,20,0.8562650084695226,chemeleon__lightgbm,1,2
31,0.03,30,0.8602625116732323,chemeleon__lightgbm,1,2
31,0.05,5,0.8664486598036408,chemeleon__lightgbm,1,2
31,0.05,10,0.8644283862997816,chemeleon__lightgbm,1,2
31,0.05,20,0.8713927822752684,chemeleon__lightgbm,1,2
31,0.05,30,0.8686019482022493,chemeleon__lightgbm,1,2
31,0.1,5,0.870165517284393,chemeleon__lightgbm,1,2
31,0.1,10,0.8790117796393575,chemeleon__lightgbm,1,2
31,0.1,20,0.8455438745837964,chemeleon__lightgbm,1,2
31,0.1,30,0.8877090788433545,chemeleon__lightgbm,1,2
63,0.01,5,0.9105696302041452,chemeleon__lightgbm,1,2
63,0.01,10,0.894748704399532,chemeleon__lightgbm,1,2
63,0.01,20,0.8892878200682066,chemeleon__lightgbm,1,2
63,0.01,30,0.8991595957273565,chemeleon__lightgbm,1,2
63,0.03,5,0.8897854921491914,chemeleon__lightgbm,1,2
63,0.03,10,0.890672416741299,chemeleon__lightgbm,1,2
63,0.03,20,0.8582071096331249,chemeleon__lightgbm,1,2
63,0.03,30,0.8602625116732323,chemeleon__lightgbm,1,2
63,0.05,5,0.9158648248386791,chemeleon__lightgbm,1,2
63,0.05,10,0.8796172352850822,chemeleon__lightgbm,1,2
63,0.05,20,0.8381386318513773,chemeleon__lightgbm,1,2
63,0.05,30,0.8686019482022493,chemeleon__lightgbm,1,2
63,0.1,5,0.8899028676080978,chemeleon__lightgbm,1,2
63,0.1,10,0.9239605635786357,chemeleon__lightgbm,1,2
63,0.1,20,0.8643601515529425,chemeleon__lightgbm,1,2
63,0.1,30,0.8877090788433545,chemeleon__lightgbm,1,2
127,0.01,5,0.9064576288162633,chemeleon__lightgbm,1,2
127,0.01,10,0.8963605062897089,chemeleon__lightgbm,1,2
127,0.01,20,0.8892878200682066,chemeleon__lightgbm,1,2
127,0.01,30,0.8991595957273565,chemeleon__lightgbm,1,2
127,0.03,5,0.8895841120546395,chemeleon__lightgbm,1,2
127,0.03,10,0.8929029690371698,chemeleon__lightgbm,1,2
127,0.03,20,0.8582071096331249,chemeleon__lightgbm,1,2
127,0.03,30,0.8602625116732323,chemeleon__lightgbm,1,2
127,0.05,5,0.9128418567489683,chemeleon__lightgbm,1,2
127,0.05,10,0.8814629302743539,chemeleon__lightgbm,1,2
127,0.05,20,0.8381386318513773,chemeleon__lightgbm,1,2
127,0.05,30,0.8686019482022493,chemeleon__lightgbm,1,2
127,0.1,5,0.8708256436629329,chemeleon__lightgbm,1,2
127,0.1,10,0.87774574934713,chemeleon__lightgbm,1,2
127,0.1,20,0.8643601515529425,chemeleon__lightgbm,1,2
127,0.1,30,0.8877090788433545,chemeleon__lightgbm,1,2
