n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.9476242278984888,chemeleon__rf,4,3
200,10,2,0.9427706589056968,chemeleon__rf,4,3
200,10,3,0.9459411586976485,chemeleon__rf,4,3
200,10,5,0.9415361832196107,chemeleon__rf,4,3
200,20,1,0.9461340107230969,chemeleon__rf,4,3
200,20,2,0.9456947178464375,chemeleon__rf,4,3
200,20,3,0.936073998357931,chemeleon__rf,4,3
200,20,5,0.9430370348342263,chemeleon__rf,4,3
500,10,1,0.9359374572966556,chemeleon__rf,4,3
500,10,2,0.9348162695221539,chemeleon__rf,4,3
500,10,3,0.9402221853696803,chemeleon__rf,4,3
500,10,5,0.9335572271484918,chemeleon__rf,4,3
500,20,1,0.9374368288966063,chemeleon__rf,4,3
500,20,2,0.9363113734326864,chemeleon__rf,4,3
500,20,3,0.935189615898603,chemeleon__rf,4,3
500,20,5,0.933508872347248,chemeleon__rf,4,3
1000,10,1,0.9293802826239523,chemeleon__rf,4,3
1000,10,2,0.9322189435953919,chemeleon__rf,4,3
1000,10,3,0.9313917638946708,chemeleon__rf,4,3
1000,10,5,0.928795316705826,chemeleon__rf,4,3
1000,20,1,0.9341897029890323,chemeleon__rf,4,3
1000,20,2,0.9328884778055856,chemeleon__rf,4,3
1000,20,3,0.9313235637345405,chemeleon__rf,4,3
1000,20,5,0.9279846041446432,chemeleon__rf,4,3
