isoform,model,condition,n_folds,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
CYP1A2,chemprop_chemeleoninit,raw,25,0.8684589730531901,0.6687414454875958,0.2265587844651738,0.508248794205783,0.3559083790373141
CYP1A2,chemprop_chemeleoninit,floored,25,0.8206778923897646,0.6560751447507029,0.2176283979704844,0.508248794205783,0.3559083790373141
CYP1A2,chemprop_chemeleoninit,censored_mle,25,1.0135564135673263,0.7352750294316732,0.1500091373727397,0.508248794205783,0.3559083790373141
CYP2C9,caruana_capped_ensemble,raw,25,0.6169186417646875,0.44712631461279584,0.4155824274480849,0.6485438380196032,0.4744501425113567
CYP2C9,caruana_capped_ensemble,floored,25,0.7839500113247169,0.5394155085675565,0.1871475226857385,0.6485438380196032,0.4744501425113567
CYP2C9,caruana_capped_ensemble,censored_mle,25,0.7680674151978667,0.4815480087898546,0.3156295114785681,0.6485438380196032,0.4744501425113567
CYP2D6,chemprop_chemeleoninit,raw,25,1.0039073561002367,0.6281896410521748,0.09799116140959549,0.4014574440202016,0.2749172697746926
CYP2D6,chemprop_chemeleoninit,floored,25,0.9318551399566403,0.5980318770458242,0.10632081990542426,0.4014574440202016,0.2749172697746926
CYP2D6,chemprop_chemeleoninit,censored_mle,25,2.2589967604152497,1.1442080697395745,-1.0974618884944025,0.4014574440202016,0.2749172697746926
CYP3A4,chemprop_chemeleoninit,raw,25,0.5460557792815692,0.5523195312142165,0.5613039230626803,0.7591945918750145,0.5684482199293552
CYP3A4,chemprop_chemeleoninit,floored,25,1.0066222695101203,0.9227587272605097,-0.14606842552422927,0.7591945918750145,0.5684482199293552
CYP3A4,chemprop_chemeleoninit,censored_mle,25,0.6374526307015317,0.7052251069600989,0.2977651324243909,0.7591945918750145,0.5684482199293552
