isoform,model,n,slope,intercept,rho,own_mean,own_std,target_mean,target_std,target_source
CYP1A2,chemprop_chemeleoninit,7060,0.5310872006587686,2.338305739589107,0.4988677178327988,4.960220387067989,0.6472047254018146,4.9726152996075985,0.6890045869473941,aid1851
CYP2D6,chemprop_chemeleoninit,7465,0.4908637153147327,2.3543703708821644,0.36853069416141415,4.749306265492297,0.48719882736563774,4.685632489529252,0.6489234961604924,aid1851
CYP3A4,chemprop_chemeleoninit,11675,0.4907595518706837,2.922600529446578,0.7523314329264952,4.079439720064754,0.8692188569909662,4.924624538349025,0.5670073561529793,aid1851
CYP2C9,caruana_capped_ensemble,6425,0.9759854399347448,0.47238907728966595,0.653629779629857,4.584372866262461,0.46285774242240785,4.946670245993741,0.6911288797477267,aid1851
