,best_single,simple_average,ridge,elastic_net,nnls,nn_ridge,caruana_capped
CYP1A2,0.8684589730531901,0.8158326609009815,0.8056500592387459,0.8049109616674659,0.8002908478349816,0.8000528667031931,0.7952384379692569
CYP2C9,0.67869131237916,0.6864917928518901,0.6221191944382602,0.6218188017294136,0.6176897846948038,0.6173472841252812,0.6169186417646876
CYP2D6,0.9372347107300577,0.8920579378992651,0.9046295039940027,0.9026976214225023,0.8910243073169226,0.8910187491167036,0.8861533359089637
CYP3A4,0.5460557792815692,0.5336457523115208,0.4934295429862847,0.49319619558210775,0.48832022832011296,0.48832026599671813,0.496381108878539
MACRO (mean of 4 isoforms),0.7576101938609943,0.7320070359909143,0.7064570751643234,0.7056558951003723,0.6993312920417052,0.6991847914854741,0.6986728811303619
