isoform,combiner,config,mean_coef,std_coef,frac_folds_negative,frac_folds_over_1p5_abs
CYP2C9,elastic_net,chemeleon__lightgbm,0.0011962602335706255,0.00458065091943267,0.0,0.0
CYP2C9,elastic_net,chemeleon__rf,0.02785561550625881,0.025036912334765512,0.0,0.0
CYP2C9,elastic_net,chemeleon__xgboost,-0.01599804824226574,0.018679693426091302,0.52,0.0
CYP2C9,elastic_net,chemprop_chemeleoninit,0.538441070908557,0.0076760352469107136,0.0,0.0
CYP2C9,elastic_net,chemprop_randominit,0.17972112007484442,0.006501721737921595,0.0,0.0
CYP2C9,elastic_net,ecfp4_narrow__lightgbm,0.09355478291081715,0.00881538868251954,0.0,0.0
CYP2C9,elastic_net,ecfp4_narrow__rf,0.24694581411599129,0.012209584466373205,0.0,0.0
CYP2C9,elastic_net,ecfp4_narrow__xgboost,-0.0010098704371563792,0.005049352185781896,0.04,0.0
CYP2C9,elastic_net,mordred_pca__lightgbm,-0.00028452850076124707,0.0014226425038062354,0.04,0.0
CYP2C9,elastic_net,mordred_pca__rf,0.0012101573252920135,0.003612544581812722,0.0,0.0
CYP2C9,elastic_net,mordred_pca__xgboost,0.009566219845637484,0.00782736127467696,0.0,0.0
CYP2D6,elastic_net,chemeleon__lightgbm,0.06124419507780171,0.01821252242717404,0.0,0.0
CYP2D6,elastic_net,chemeleon__rf,0.3899494994571854,0.019660955536688715,0.0,0.0
CYP2D6,elastic_net,chemeleon__xgboost,0.03351271701424015,0.010414034612980475,0.0,0.0
CYP2D6,elastic_net,chemprop_chemeleoninit,0.18078521637364528,0.007354401222882501,0.0,0.0
CYP2D6,elastic_net,chemprop_randominit,0.12783026325838562,0.005690312021325656,0.0,0.0
CYP2D6,elastic_net,ecfp4_narrow__lightgbm,0.21858457700469547,0.009508703473563323,0.0,0.0
CYP2D6,elastic_net,ecfp4_narrow__rf,0.15400746479001154,0.008137682699427991,0.0,0.0
CYP2D6,elastic_net,ecfp4_narrow__xgboost,0.0007295712288753033,0.0035222841306466806,0.0,0.0
CYP2D6,elastic_net,mordred_pca__lightgbm,0.0,0.0,0.0,0.0
CYP2D6,elastic_net,mordred_pca__rf,0.0,0.0,0.0,0.0
CYP2D6,elastic_net,mordred_pca__xgboost,0.031387181537991575,0.012358272841430628,0.0,0.0
CYP3A4,elastic_net,chemeleon__lightgbm,0.1014803636797465,0.005072356116284662,0.0,0.0
CYP3A4,elastic_net,chemeleon__rf,0.05363622756312957,0.007471612821681995,0.0,0.0
CYP3A4,elastic_net,chemeleon__xgboost,0.030126759710552908,0.0035115577177540006,0.0,0.0
CYP3A4,elastic_net,chemprop_chemeleoninit,0.41195743003770985,0.005550127433874508,0.0,0.0
CYP3A4,elastic_net,chemprop_randominit,0.1225093492335663,0.004989843722689726,0.0,0.0
CYP3A4,elastic_net,ecfp4_narrow__lightgbm,0.25137412871955944,0.0059047713891263905,0.0,0.0
CYP3A4,elastic_net,ecfp4_narrow__rf,0.11374347833819214,0.0043208034167847836,0.0,0.0
CYP3A4,elastic_net,ecfp4_narrow__xgboost,0.04846797093804695,0.004985894139653287,0.0,0.0
CYP3A4,elastic_net,mordred_pca__lightgbm,-0.019687658713206033,0.004414262294590611,1.0,0.0
CYP3A4,elastic_net,mordred_pca__rf,-0.030713712802345503,0.004654495659682862,1.0,0.0
CYP3A4,elastic_net,mordred_pca__xgboost,0.03763152116355502,0.003687271700228513,0.0,0.0
CYP1A2,nnls,chemeleon__lightgbm,0.0,0.0,0.0,0.0
CYP1A2,nnls,chemeleon__rf,0.15186552328470015,0.008790444620006332,0.0,0.0
CYP1A2,nnls,chemeleon__xgboost,0.0,0.0,0.0,0.0
CYP1A2,nnls,chemprop_chemeleoninit,0.4400938563774473,0.008345179771920208,0.0,0.0
CYP1A2,nnls,chemprop_randominit,0.14752074659659978,0.005604483470268475,0.0,0.0
CYP1A2,nnls,ecfp4_narrow__lightgbm,0.18406451410476837,0.010709009175301109,0.0,0.0
CYP1A2,nnls,ecfp4_narrow__rf,0.06566181714124052,0.010186837418341239,0.0,0.0
