isoform,combiner,repeat,fold,ST-RAE
CYP2D6,best_single,2,0,0.964063231948405
CYP2D6,best_single,2,1,0.9331806021085484
CYP2D6,best_single,2,2,0.9164744836082183
CYP2D6,best_single,2,3,0.9554152174099378
CYP2D6,best_single,2,4,0.9605457680421499
CYP2D6,best_single,3,0,0.97164622280665
CYP2D6,best_single,3,1,0.9686593154418558
CYP2D6,best_single,3,2,0.9131418312194233
CYP2D6,best_single,3,3,0.9294366698239478
CYP2D6,best_single,3,4,0.8896725639121233
CYP2D6,best_single,4,0,0.9136826129419867
CYP2D6,best_single,4,1,0.9171030181604933
CYP2D6,best_single,4,2,0.9577371455335576
CYP2D6,best_single,4,3,0.8814861680141851
CYP2D6,best_single,4,4,0.9844755406101159
CYP2D6,caruana_capped,0,0,0.8717361299744315
CYP2D6,caruana_capped,0,1,0.9097259786424723
CYP2D6,caruana_capped,0,2,0.8674293708983656
CYP2D6,caruana_capped,0,3,0.8895065609345771
CYP2D6,caruana_capped,0,4,0.8633926403694876
CYP2D6,caruana_capped,1,0,0.887789441391194
CYP2D6,caruana_capped,1,1,0.878688776250482
CYP2D6,caruana_capped,1,2,0.8822048671820988
CYP2D6,caruana_capped,1,3,0.8734814243887756
CYP2D6,caruana_capped,1,4,0.9228229451223994
CYP2D6,caruana_capped,2,0,0.909597339156194
CYP2D6,caruana_capped,2,1,0.88061802747051
CYP2D6,caruana_capped,2,2,0.8745521212281127
CYP2D6,caruana_capped,2,3,0.8969412339580795
CYP2D6,caruana_capped,2,4,0.9085025299522346
CYP2D6,caruana_capped,3,0,0.9098371091241175
CYP2D6,caruana_capped,3,1,0.9144628833729506
CYP2D6,caruana_capped,3,2,0.87627121059119
CYP2D6,caruana_capped,3,3,0.8841029867829292
CYP2D6,caruana_capped,3,4,0.8466825952589566
CYP2D6,caruana_capped,4,0,0.8856996689717447
CYP2D6,caruana_capped,4,1,0.876557374459619
CYP2D6,caruana_capped,4,2,0.883291092749883
CYP2D6,caruana_capped,4,3,0.8440288978370761
CYP2D6,caruana_capped,4,4,0.9159101916562112
CYP3A4,best_single,0,0,0.49103534655860465
CYP3A4,best_single,0,1,0.6102207129107592
CYP3A4,best_single,0,2,0.6697772788735936
CYP3A4,best_single,0,3,0.4780603235397566
CYP3A4,best_single,0,4,0.6122705634100402
CYP3A4,best_single,1,0,0.5041213491308932
CYP3A4,best_single,1,1,0.5386955018140125
CYP3A4,best_single,1,2,0.4691185004179204
CYP3A4,best_single,1,3,0.508527115695503
CYP3A4,best_single,1,4,0.559841925628412
CYP3A4,best_single,2,0,0.5096695518424862
CYP3A4,best_single,2,1,0.5961307648607449
CYP3A4,best_single,2,2,0.5214511642464363
CYP3A4,best_single,2,3,0.5374126215193287
CYP3A4,best_single,2,4,0.5874828162137212
CYP3A4,best_single,3,0,0.5129036764372619
CYP3A4,best_single,3,1,0.5520692691468696
CYP3A4,best_single,3,2,0.5319875828759203
CYP3A4,best_single,3,3,0.5242087137930581
CYP3A4,best_single,3,4,0.5409085025332117
CYP3A4,best_single,4,0,0.5069078132126144
CYP3A4,best_single,4,1,0.613533412416559
CYP3A4,best_single,4,2,0.5840881247165166
CYP3A4,best_single,4,3,0.5232888473438843
CYP3A4,best_single,4,4,0.5676830029011213
CYP3A4,caruana_capped,0,0,0.5054003365734888
CYP3A4,caruana_capped,0,1,0.5158926217367982
CYP3A4,caruana_capped,0,2,0.5590721524967481
CYP3A4,caruana_capped,0,3,0.471887348471439
CYP3A4,caruana_capped,0,4,0.49559989573405017
CYP3A4,caruana_capped,1,0,0.45592577952471486
CYP3A4,caruana_capped,1,1,0.4686813877168281
CYP3A4,caruana_capped,1,2,0.4588253896283065
CYP3A4,caruana_capped,1,3,0.49851153900373696
CYP3A4,caruana_capped,1,4,0.5318184691951844
CYP3A4,caruana_capped,2,0,0.4873836271742689
CYP3A4,caruana_capped,2,1,0.48295378293314184
CYP3A4,caruana_capped,2,2,0.5379203165640785
CYP3A4,caruana_capped,2,3,0.4772109265053997
CYP3A4,caruana_capped,2,4,0.5158150867604027
CYP3A4,caruana_capped,3,0,0.48136995102411595
CYP3A4,caruana_capped,3,1,0.5118871775542146
CYP3A4,caruana_capped,3,2,0.4421646735875926
CYP3A4,caruana_capped,3,3,0.49023261645379773
CYP3A4,caruana_capped,3,4,0.5111965001379775
CYP3A4,caruana_capped,4,0,0.5153110360419192
CYP3A4,caruana_capped,4,1,0.48784163119194635
CYP3A4,caruana_capped,4,2,0.5033246879886335
CYP3A4,caruana_capped,4,3,0.5168350234436174
CYP3A4,caruana_capped,4,4,0.4864657645210733
CYP1A2,simple_average,0,0,0.7669991044140544
CYP1A2,simple_average,0,1,0.8413530950068222
CYP1A2,simple_average,0,2,0.7931494651582743
CYP1A2,simple_average,0,3,0.8294414802640439
CYP1A2,simple_average,0,4,0.8260250567965113
CYP1A2,simple_average,1,0,0.8409442135755885
CYP1A2,simple_average,1,1,0.8426623087727072
CYP1A2,simple_average,1,2,0.7645453274409694
CYP1A2,simple_average,1,3,0.8507374974557439
CYP1A2,simple_average,1,4,0.7864387992845153
CYP1A2,simple_average,2,0,0.7835525109564281
CYP1A2,simple_average,2,1,0.7986361823084382
CYP1A2,simple_average,2,2,0.8720864250547675
CYP1A2,simple_average,2,3,0.8633044199090038
CYP1A2,simple_average,2,4,0.7821645642829194
CYP1A2,simple_average,3,0,0.7706207700655081
CYP1A2,simple_average,3,1,0.8568229151920147
CYP1A2,simple_average,3,2,0.8642502564417428
CYP1A2,simple_average,3,3,0.831797364122654
CYP1A2,simple_average,3,4,0.7769847271735545
CYP1A2,simple_average,4,0,0.8131796408959345
CYP1A2,simple_average,4,1,0.828870049730564
CYP1A2,simple_average,4,2,0.7893597911571413
CYP1A2,simple_average,4,3,0.7946126546837746
CYP1A2,simple_average,4,4,0.8272779023808623
CYP1A2,ridge,0,0,0.7411717087523844
CYP1A2,ridge,0,1,0.8355992528522777
CYP1A2,ridge,0,2,0.7679694389855475
CYP1A2,ridge,0,3,0.7722782444127944
CYP1A2,ridge,0,4,0.8237025310108222
CYP1A2,ridge,1,0,0.835121963409275
CYP1A2,ridge,1,1,0.8466258653460519
CYP1A2,ridge,1,2,0.7667810529533892
CYP1A2,ridge,1,3,0.8554865438974075
CYP1A2,ridge,1,4,0.786733616120966
CYP1A2,ridge,2,0,0.7715681016337764
CYP1A2,ridge,2,1,0.8007123157430347
CYP1A2,ridge,2,2,0.849848539472182
CYP1A2,ridge,2,3,0.882552022511618
CYP1A2,ridge,2,4,0.7511546802541946
CYP1A2,ridge,3,0,0.7539906655963801
CYP1A2,ridge,3,1,0.8514296017174647
CYP1A2,ridge,3,2,0.859603236249519
CYP1A2,ridge,3,3,0.8065037706630078
CYP1A2,ridge,3,4,0.7661579751602595
CYP1A2,ridge,4,0,0.8249850235408168
CYP1A2,ridge,4,1,0.8364730311597321
CYP1A2,ridge,4,2,0.7639388901884645
CYP1A2,ridge,4,3,0.7507241953321886
CYP1A2,ridge,4,4,0.8401392140050926
CYP1A2,elastic_net,0,0,0.740267045452606
