isoform,branch,variance_ratio,levene_p,omnibus_p,significant_at_0.05,posthoc_method
CYP1A2,parametric,2.519266413030374,0.4384913932758445,7.459093195390796e-36,True,Tukey HSD (RM-ANOVA error term)
CYP2C9,parametric,2.5493335522075626,0.655367070539818,1.6335238119570612e-35,True,Tukey HSD (RM-ANOVA error term)
CYP2D6,parametric,2.6354906553394413,0.15149303865054428,9.069239376253494e-36,True,Tukey HSD (RM-ANOVA error term)
CYP3A4,parametric,3.3008517346865642,0.03233956919598185,4.585095274826564e-27,True,Tukey HSD (RM-ANOVA error term)
