isoform,strae_optimal_offset,strae_at_optimum,r2_optimal_offset,r2_at_optimum,raw_offset_0_strae,raw_offset_0_r2,gap_strae_minus_r2_offset,analytic_r2_optimal_offset,grid_vs_analytic_gap
CYP1A2,0.07,0.8575048414065155,0.0,0.2320980410446899,0.8633423026090382,0.2320980410446899,0.07,-0.004810060313739371,0.004810060313739371
CYP2C9,0.09,0.6556141441948926,0.01,0.39416140182016624,0.6714905213144614,0.3941275173633979,0.08,0.006036031680933847,0.003963968319066153
CYP2D6,0.09,0.9876804247292503,0.03,0.10906446537672532,0.9992799924527885,0.10764108599381572,0.06,0.03489576084728734,0.0048957608472873435
CYP3A4,0.14,0.5216493144141554,0.02,0.5641492306770646,0.5439349487913188,0.5639277460803616,0.12000000000000001,0.01661472965002141,0.0033852703499785905
