isoform,median_y_true,mean_width_low_half,mean_width_high_half,width_ratio_low_over_high,total_over_prediction_error,total_under_prediction_error,under_over_ratio
CYP1A2,5.13333409,0.9208319614022662,0.2450166632436261,3.7582421914164277,1131.6484397,1864.35005045,1.6474639870879328
CYP2C9,4.621326012,1.0585458188180403,0.35650967056074767,2.9691924405671033,386.1268171,967.43219,2.5054778563837803
CYP2D6,4.726028418,0.7329407463186077,0.25113868733243966,2.918470085608087,1116.90236065,2007.6757558499999,1.7975391821014681
CYP3A4,4.266410545,1.535280999785959,0.22092701713796056,6.94926777030278,877.968247,2449.008332594,2.789404219300883
