isoform,offset,strae,r2
CYP1A2,-2.0,3.6394811025551954,-3.5193394326030285
CYP1A2,-1.99,3.6210921418660047,-3.481828637820631
CYP1A2,-1.98,3.6027119907883534,-3.444506321504706
CYP1A2,-1.97,3.584355083355248,-3.407372483655256
CYP1A2,-1.96,3.566005383349953,-3.37042712427228
CYP1A2,-1.95,3.5476619236182407,-3.333670243355778
CYP1A2,-1.94,3.5293238632510286,-3.297101840905749
CYP1A2,-1.93,3.510998131654406,-3.2607219169221935
CYP1A2,-1.92,3.4926900049302385,-3.2245304714051137
CYP1A2,-1.91,3.474387712771963,-3.188527504354508
CYP1A2,-1.9,3.4560948445500648,-3.1527130157703747
CYP1A2,-1.89,3.437817445407106,-3.1170870056527153
CYP1A2,-1.88,3.419557131286703,-3.081649474001531
CYP1A2,-1.87,3.401307465357837,-3.0464004208168216
CYP1A2,-1.86,3.383077738093201,-3.0113398460985854
CYP1A2,-1.85,3.364879912466567,-2.9764677498468215
CYP1A2,-1.84,3.346694867266143,-2.941784132061532
CYP1A2,-1.83,3.328528878224233,-2.907288992742718
CYP1A2,-1.82,3.3103769819557725,-2.8729823318903787
CYP1A2,-1.81,3.2922333641961026,-2.83886414950451
CYP1A2,-1.8,3.274099474963355,-2.8049344455851166
CYP1A2,-1.79,3.2559775219194296,-2.7711932201321985
CYP1A2,-1.78,3.237872933504687,-2.7376404731457544
CYP1A2,-1.77,3.219788729243063,-2.704276204625782
CYP1A2,-1.76,3.201733735358817,-2.6711004145722845
CYP1A2,-1.75,3.183697488532754,-2.638113102985262
CYP1A2,-1.74,3.1656760152558583,-2.6053142698647136
CYP1A2,-1.73,3.1476705088919865,-2.5727039152106372
CYP1A2,-1.72,3.129677338416382,-2.540282039023036
CYP1A2,-1.71,3.111698691175304,-2.5080486413019094
CYP1A2,-1.7,3.093730681420426,-2.4760037220472566
CYP1A2,-1.69,3.0757772661056784,-2.444147281259077
CYP1A2,-1.68,3.0578423588881765,-2.4124793189373706
CYP1A2,-1.67,3.039919520084067,-2.38099983508214
CYP1A2,-1.66,3.0220179804005984,-2.349708829693383
CYP1A2,-1.65,3.004150369063734,-2.3186063027710992
CYP1A2,-1.64,2.986307232081473,-2.287692254315289
CYP1A2,-1.63,2.9684835425283436,-2.2569666843259535
CYP1A2,-1.62,2.9506760605493487,-2.226429592803093
CYP1A2,-1.61,2.932894638366293,-2.1960809797467062
CYP1A2,-1.6,2.9151391569813865,-2.1659208451567915
CYP1A2,-1.59,2.8974039477686264,-2.1359491890333517
CYP1A2,-1.58,2.8796878253751506,-2.1061660113763865
CYP1A2,-1.57,2.861986770084663,-2.0765713121858953
CYP1A2,-1.56,2.844307016378626,-2.047165091461877
CYP1A2,-1.55,2.8266700721100952,-2.017947349204333
CYP1A2,-1.54,2.809060403910489,-1.988918085413263
CYP1A2,-1.53,2.79148831758794,-1.9600773000886687
CYP1A2,-1.52,2.7739358594461,-1.9314249932305456
CYP1A2,-1.51,2.756406116525995,-1.902961164838897
CYP1A2,-1.5,2.7388965295898564,-1.8746858149137235
CYP1A2,-1.49,2.7214190890447756,-1.846598943455024
CYP1A2,-1.48,2.703952446508283,-1.8187005504627978
CYP1A2,-1.47,2.686504295124926,-1.7909906359370455
CYP1A2,-1.46,2.669080002402553,-1.7634691998777674
CYP1A2,-1.45,2.651669995524267,-1.7361362422849642
CYP1A2,-1.44,2.634277677316857,-1.7089917631586333
CYP1A2,-1.43,2.616913866839372,-1.682035762498777
CYP1A2,-1.42,2.5995819816726558,-1.6552682403053947
CYP1A2,-1.41,2.582280263461884,-1.6286891965784873
CYP1A2,-1.4,2.5650138086955923,-1.6022986313180527
CYP1A2,-1.39,2.5477752887581278,-1.5760965445240913
CYP1A2,-1.38,2.5305631863159816,-1.5500829361966062
CYP1A2,-1.37,2.5133836567348826,-1.5242578063355938
CYP1A2,-1.36,2.4962432844872535,-1.498621154941056
CYP1A2,-1.35,2.4791323112498973,-1.4731729820129917
CYP1A2,-1.34,2.4620454355047863,-1.4479132875514007
CYP1A2,-1.33,2.4449921369194323,-1.4228420715562842
CYP1A2,-1.32,2.4279647382415948,-1.3979593340276422
CYP1A2,-1.31,2.4109717442761434,-1.373265074965473
CYP1A2,-1.3,2.393992518466119,-1.3487592943697782
CYP1A2,-1.29,2.3770415205632696,-1.324441992240558
CYP1A2,-1.28,2.3601188934398674,-1.3003131685778118
CYP1A2,-1.27,2.343217443716152,-1.2763728233815383
CYP1A2,-1.26,2.3263493001761115,-1.2526209566517394
CYP1A2,-1.25,2.3095115192849582,-1.229057568388415
CYP1A2,-1.24,2.2927020404314593,-1.2056826585915643
CYP1A2,-1.23,2.2759195359956226,-1.1824962272611872
CYP1A2,-1.22,2.2591715063251154,-1.1594982743972841
CYP1A2,-1.21,2.2424484057626097,-1.1366887999998556
CYP1A2,-1.2,2.2257446166008834,-1.1140678040689012
CYP1A2,-1.19,2.2090772433136365,-1.0916352866044199
CYP1A2,-1.18,2.1924546798197975,-1.0693912476064122
CYP1A2,-1.17,2.175868930704001,-1.0473356870748796
CYP1A2,-1.16,2.1593289252671743,-1.025468605009821
CYP1A2,-1.15,2.1428270537597576,-1.0037900014112355
CYP1A2,-1.14,2.1263706232714714,-0.982299876279124
CYP1A2,-1.13,2.109949950776669,-0.9609982296134874
CYP1A2,-1.12,2.0935623552157696,-0.9398850614143244
CYP1A2,-1.11,2.077221786634034,-0.9189603716816355
CYP1A2,-1.1,2.060920997332575,-0.8982241604154202
CYP1A2,-1.09,2.044652770647891,-0.8776764276156783
