isoform,group,n,mean_signed_error,median_signed_error,frac_negative
CYP1A2,consensus_hard,142,-0.1298212314013106,-1.238230352946069,0.6408450704225352
CYP1A2,consensus_easy,142,0.048301165001548234,0.031100033956650244,0.4084507042253521
CYP1A2,all,1412,-0.0018046038142111784,-0.11842943433249205,0.5864022662889519
CYP2C9,consensus_hard,129,-0.7190143126453891,-0.9657326745844965,0.8604651162790697
CYP2C9,consensus_easy,129,0.09563949221456583,0.08924977930386858,0.24806201550387597
CYP2C9,all,1285,0.0006433981416211288,-0.02330846505663581,0.5229571984435798
CYP2D6,consensus_hard,150,-0.6086877883349014,-1.3051307249040862,0.7666666666666667
CYP2D6,consensus_easy,150,0.01858478979230558,0.020917292141941407,0.44666666666666666
CYP2D6,all,1493,-0.008523628077305013,-0.003144160222690201,0.5030140656396517
CYP3A4,consensus_hard,234,-0.9633303315889166,-1.1084883686280684,0.9273504273504274
CYP3A4,consensus_easy,234,0.3287858636081303,0.3271632294569392,0.19658119658119658
CYP3A4,all,2335,0.003873776878134213,-0.049848978589874575,0.5361884368308352
