isoform,strae_optimal_s,strae_at_optimum,r2_optimal_s,r2_at_optimum,strae_at_s1,r2_at_s1,rho,strae_at_rho,r2_at_rho,gap_s_units_optimum_minus_rho,gap_strae_units_rho_minus_optimum,rho_model,strae_optimum_at_grid_boundary
CYP1A2,0.66,0.8148088988131037,0.79,0.24884083767601484,0.8633423026090382,0.2320980410446899,0.4988677178327988,0.8256934227746787,0.2144567250630526,0.1611322821672012,0.010884523961575021,chemprop_chemeleoninit,False
CYP2C9,0.82,0.6538908415772107,0.89,0.39977005050474346,0.6714905213144614,0.3941275173633979,0.653629779629857,0.6678013675271064,0.37090304522272477,0.16637022037014293,0.013910525949895725,caruana_capped_ensemble,False
CYP2D6,0.48,0.9113372755342697,0.69,0.13436080713200804,0.9992799924527885,0.10764108599381572,0.3685306941614141,0.9157142576190773,0.10461249983997623,0.11146930583858589,0.004376982084807635,chemprop_chemeleoninit,False
CYP3A4,0.91,0.5382214607877288,0.95,0.5657614233826977,0.5439349487913188,0.5639277460803616,0.7523314329264952,0.5531197908321116,0.5420366661241349,0.15766856707350485,0.01489833004438279,chemprop_chemeleoninit,False
