isoform,hard_jaccard_ae_vs_soft,easy_jaccard_ae_vs_soft,hard_material_difference,easy_material_difference
CYP1A2,0.4791666666666667,0.4639175257731959,True,True
CYP2C9,0.3945945945945946,0.2524271844660194,True,True
CYP2D6,0.4423076923076923,0.47058823529411764,True,True
CYP3A4,0.30726256983240224,0.058823529411764705,True,True
