isoform_a,isoform_b,n_shared_compounds,both_hard,a_hard_only,b_hard_only,neither_hard,odds_ratio,phi,p_raw,p_adj,significant
CYP1A2,CYP2C9,295,7,15,32,295,4.302083333333333,0.16995380780965844,0.0061260870041546745,0.018378261012464026,True
CYP1A2,CYP2D6,427,8,30,53,427,2.148427672955975,0.08097768159077871,0.11019654543144097,0.16529481814716146,False
CYP1A2,CYP3A4,297,8,20,40,297,2.97,0.1315261165371313,0.01952779835646414,0.03905559671292828,True
CYP2C9,CYP2D6,230,5,41,18,230,1.5582655826558265,0.04885892376142509,0.37695507655698857,0.4265785726697115,False
CYP2C9,CYP3A4,473,19,37,38,473,6.391891891891892,0.26284487724196737,1.5997928585902453e-07,9.598757151541473e-07,True
CYP2D6,CYP3A4,250,6,22,47,250,1.4506769825918762,0.0425604576782893,0.4265785726697115,0.4265785726697115,False
