n_components,explained_variance_ratio,cumulative_explained_variance
1,0.1981469870148738,0.1981469870148738
2,0.106221189875719,0.3043681768905928
3,0.06374151188858192,0.3681096887791747
4,0.04324998417981692,0.4113596729589916
5,0.03352080155462469,0.4448804745136163
6,0.025001170003139284,0.46988164451675557
7,0.02442403902732016,0.4943056835440757
8,0.021385602893815064,0.5156912864378908
9,0.01985135237530003,0.5355426388131908
10,0.019549957976607715,0.5550925967897985
11,0.01752971024130302,0.5726223070311015
12,0.01670723630684142,0.589329543337943
13,0.015167200355822273,0.6044967436937653
14,0.014673046266722736,0.619169789960488
15,0.013943856822693565,0.6331136467831816
16,0.012856844371567425,0.645970491154749
17,0.011449166071466118,0.6574196572262151
18,0.01053376743594401,0.6679534246621591
19,0.009663849981810862,0.67761727464397
20,0.009383114739839708,0.6870003893838097
21,0.009193715756714484,0.6961941051405242
22,0.00793783271854837,0.7041319378590726
23,0.007624231374216753,0.7117561692332893
24,0.007383935228245811,0.7191401044615351
25,0.006953862483094514,0.7260939669446296
26,0.0066325552755366985,0.7327265222201663
27,0.0061164107387579325,0.7388429329589242
28,0.005655766240650422,0.7444986991995747
29,0.005556992004572876,0.7500556912041475
30,0.005492715703695301,0.7555484069078428
31,0.00512435300972545,0.7606727599175682
32,0.004884026637742561,0.7655567865553108
33,0.004766739066935313,0.7703235256222462
34,0.004533807575884351,0.7748573331981305
35,0.00443046436692877,0.7792877975650593
36,0.004343322012689377,0.7836311195777487
37,0.0042165782186435324,0.7878476977963922
38,0.004000519439448397,0.7918482172358405
39,0.0037898188083638168,0.7956380360442044
40,0.0036944137844132125,0.7993324498286176
41,0.003565107423057961,0.8028975572516756
42,0.0034839751216360552,0.8063815323733116
43,0.0033693517078253114,0.8097508840811368
44,0.0032610046240743114,0.8130118887052111
45,0.0030892660063983556,0.8161011547116095
46,0.0030473364454703875,0.8191484911570799
47,0.0030352574906664874,0.8221837486477463
48,0.0029567198846510863,0.8251404685323974
49,0.0028885863435382316,0.8280290548759357
50,0.0028197024810983624,0.830848757357034
51,0.002766103004933265,0.8336148603619673
52,0.002703309030373693,0.836318169392341
53,0.0025899094681249095,0.8389080788604659
54,0.0025445672527422882,0.8414526461132082
55,0.002515149796490877,0.8439677959096992
56,0.0024628067598568694,0.846430602669556
57,0.002427674264578494,0.8488582769341345
58,0.0023660983039040344,0.8512243752380385
59,0.002298265617912625,0.8535226408559511
60,0.002278507237352481,0.8558011480933035
61,0.0022322670123942102,0.8580334151056977
62,0.0021072783676866027,0.8601406934733844
63,0.002080987385113414,0.8622216808584978
64,0.0020699616874044315,0.8642916425459023
65,0.002018424806704281,0.8663100673526066
66,0.001997788236446738,0.8683078555890533
67,0.0019372679191818247,0.8702451235082351
68,0.0018916821072053624,0.8721368056154405
69,0.0018835968661366671,0.8740204024815772
70,0.0018429109441545793,0.8758633134257318
71,0.0017940846088372155,0.877657398034569
72,0.0017903004375732984,0.8794476984721423
73,0.0017220765162546568,0.881169774988397
74,0.0017085774063366915,0.8828783523947337
75,0.001679026049277709,0.8845573784440114
76,0.0016496702345910996,0.8862070486786024
77,0.0016248592461147458,0.8878319079247172
78,0.0016189225181157168,0.8894508304428329
79,0.0015974207600560494,0.891048251202889
80,0.0015729912012605177,0.8926212424041495
81,0.0015531897345312947,0.8941744321386809
82,0.0015323801540892443,0.8957068122927702
83,0.0015180707444147664,0.897224883037185
84,0.001510870316030309,0.8987357533532152
85,0.0014947121396972046,0.9002304654929124
86,0.001470584540591111,0.9017010500335035
87,0.001452730593322751,0.9031537806268263
88,0.0014319745784880337,0.9045857552053143
89,0.0014201173044069025,0.9060058725097212
90,0.0014006770076006362,0.9074065495173218
91,0.0013972832487191404,0.9088038327660409
92,0.001354162902937967,0.9101579956689789
93,0.001327065866947122,0.911485061535926
94,0.0013080538565478095,0.9127931153924739
95,0.0012906351928312885,0.9140837505853051
96,0.001283922862229376,0.9153676734475344
97,0.0012679309360360323,0.9166356043835705
98,0.0012532270395524472,0.9178888314231229
99,0.001242602396002841,0.9191314338191258
100,0.0012082299353259284,0.9203396637544516
101,0.0011884792651052092,0.9215281430195569
102,0.0011676187378053646,0.9226957617573622
103,0.001156725031382428,0.9238524867887447
104,0.0011452660096567362,0.9249977527984014
105,0.0011388813980327897,0.9261366341964341
106,0.0011175374228446424,0.9272541716192787
107,0.001106614981695755,0.9283607866009744
108,0.0010852574489015033,0.929446044049876
109,0.0010585181078107864,0.9305045621576867
110,0.0010221896440277929,0.9315267518017145
111,0.0010136419082582887,0.9325403937099728
112,0.0010069818315984668,0.9335473755415712
113,0.0009894986590653673,0.9345368742006366
114,0.0009827736211792748,0.9355196478218158
115,0.0009617666004416158,0.9364814144222574
116,0.000943962437117009,0.9374253768593744
117,0.000921754565615008,0.9383471314249895
118,0.0009127461601990865,0.9392598775851886
119,0.0008945423438069277,0.9401544199289955
120,0.0008694410362658086,0.9410238609652614
121,0.0008613499377265652,0.9418852109029879
122,0.0008449781571904238,0.9427301890601784
123,0.0008348573727714544,0.9435650464329498
124,0.0008182401905073507,0.9443832866234572
125,0.0008067758158713237,0.9451900624393285
126,0.0007983068102233733,0.9459883692495519
127,0.0007749670095955443,0.9467633362591474
128,0.0007696432557139181,0.9475329795148614
129,0.0007419334556775257,0.9482749129705389
130,0.0007264431729840498,0.949001356143523
131,0.00071519046664483,0.9497165466101678
132,0.0007132040895385236,0.9504297506997064
133,0.0007034718788982813,0.9511332225786047
134,0.0006953318924772907,0.951828554471082
135,0.0006887344563258211,0.9525172889274077
136,0.0006622651617908675,0.9531795540891986
137,0.0006547168487965027,0.9538342709379951
138,0.000645127277468991,0.9544793982154641
139,0.0006428653159468165,0.9551222635314109
140,0.0006378302294199999,0.9557600937608309
141,0.0006248849749669257,0.9563849787357979
142,0.000616034824947807,0.9570010135607456
143,0.0006051977410030786,0.9576062113017487
144,0.0005981925327471422,0.9582044038344959
145,0.0005895624780678361,0.9587939663125638
146,0.0005795921777011646,0.959373558490265
147,0.000578627367758745,0.9599521858580237
148,0.0005706580779872952,0.960522843936011
149,0.0005590650422239188,0.9610819089782349
150,0.0005521199649553835,0.9616340289431903
151,0.0005369429995353609,0.9621709719427256
152,0.0005255962082301282,0.9626965681509557
153,0.0005237633427486467,0.9632203314937043
154,0.0005124927542021089,0.9637328242479064
155,0.0005075241275080094,0.9642403483754144
156,0.0005005612978207656,0.9647409096732351
157,0.0004975573131449695,0.96523846698638
158,0.0004888939334614989,0.9657273609198416
159,0.0004785259496091953,0.9662058868694507
160,0.00047620764441071747,0.9666820945138614
161,0.00046938678886523265,0.9671514813027267
162,0.00045996627989145747,0.9676114475826181
163,0.0004589997309469898,0.9680704473135651
164,0.0004511580718323905,0.9685216053853974
165,0.0004431375874672954,0.9689647429728647
166,0.0004361767899140627,0.9694009197627788
167,0.00043065815987783606,0.9698315779226566
168,0.0004196905537716579,0.9702512684764283
169,0.00041123092052990925,0.9706624993969581
170,0.00040264990670534117,0.9710651493036635
171,0.0004007205196320515,0.9714658698232955
172,0.00039648587578441387,0.97186235569908
173,0.00038754903047374294,0.9722499047295537
174,0.0003807459777935721,0.9726306507073473
175,0.0003793057787276697,0.973009956486075
176,0.00036865149674168035,0.9733786079828167
177,0.0003653303194653694,0.9737439383022821
178,0.0003552035296100515,0.9740991418318922
179,0.0003532105628811832,0.9744523523947733
180,0.00034750197070951164,0.9747998543654829
181,0.00034148695890979803,0.9751413413243927
182,0.00033900791933303055,0.9754803492437257
183,0.0003301655522452816,0.975810514795971
184,0.0003260768061047285,0.9761365916020758
185,0.00031719148217236874,0.9764537830842481
186,0.0003164922767775621,0.9767702753610257
187,0.0003097157194560342,0.9770799910804817
188,0.0003071334813406441,0.9773871245618223
189,0.00030217890484411154,0.9776893034666664
190,0.0003005230227178925,0.9779898264893843
191,0.0002911618239583058,0.9782809883133425
192,0.0002886938886181382,0.9785696822019607
193,0.00028751868125197097,0.9788572008832127
194,0.0002821073256613047,0.979139308208874
195,0.0002771187558021642,0.9794164269646761
196,0.00027631353767268327,0.9796927405023488
197,0.00027194263470742313,0.9799646831370562
198,0.0002663027181959865,0.9802309858552521
