stage,mean,sd,ratio,multiplier_from_prev
raw (this model),4.66264099,0.4072611464912618,0.4445615741092477,
after placement,3.155762171801848,0.6964559771579933,0.7602433184963665,1.7089563399264627
after widening,3.155762171801848,0.7786817275226389,0.8500000000000002,1.118063098115952
