seed_pair,isoform,pred_corr,error_corr
2684470948_vs_4091952314,CYP1A2,0.8779586643587393,0.9290149763030856
2684470948_vs_4091952314,CYP2C9,0.889525386540575,0.9333439692236078
2684470948_vs_4091952314,CYP2D6,0.7386108121889491,0.9058432941895996
2684470948_vs_4091952314,CYP3A4,0.9244884718716156,0.8768128938135021
2684470948_vs_233227757,CYP1A2,0.8813487798740436,0.9439524934926198
2684470948_vs_233227757,CYP2C9,0.8986659898737472,0.9382309106303272
2684470948_vs_233227757,CYP2D6,0.8473450562925022,0.9573107652913834
2684470948_vs_233227757,CYP3A4,0.9134062743660528,0.8652781106243724
4091952314_vs_233227757,CYP1A2,0.8110164281271931,0.894093211618432
4091952314_vs_233227757,CYP2C9,0.8583451782312016,0.9233478862896698
4091952314_vs_233227757,CYP2D6,0.7829448181421179,0.9168128271484945
4091952314_vs_233227757,CYP3A4,0.9083718043733141,0.8674683157180194
