isoform,arm,n_seeds,ST-RAE_mean,ST-RAE_std,MAE_mean,MAE_std,R2_mean,R2_std,Spearman_R_mean,Spearman_R_std
CYP1A2,baseline,3,0.7995457008431005,0.01445108938802095,0.6663279179202429,0.009055141620662297,0.27040337358365163,0.02454953388066914,0.5140601249214852,0.014961634577576408
CYP1A2,tdi,3,0.797877554431189,0.02056211112768167,0.6651767805151794,0.015949738420837675,0.2660848080197193,0.04828303010429745,0.5230345623269135,0.02258312139131055
CYP1A2,tdi_emax,3,0.8494393687506635,0.05098499856773715,0.6823926835284814,0.01907563178549122,0.24536275188283882,0.02959076824033223,0.5136374600719932,0.008756760773281058
CYP2C9,baseline,3,0.7141788645508806,0.015770246206870876,0.5315100616955304,0.00409292491582309,0.3524359461566647,0.012986431015451938,0.576690594136994,0.022140295817757796
CYP2C9,tdi,3,0.6895512912102953,0.01912265638421908,0.5315541325831564,0.005412526327908131,0.3546152074664783,0.005984315666303602,0.5812185505965757,0.016125900562514974
CYP2C9,tdi_emax,3,0.7222015056241639,0.06399959905599968,0.5366498968638383,0.019827109862612755,0.35281653718906236,0.03250252964159641,0.5802849694634024,0.015402593038762164
CYP2D6,baseline,3,0.9599414271513655,0.06258157739443537,0.6022833406270508,0.027491521702606447,0.12506422010360332,0.054496135158756426,0.40561444058810087,0.021956948145378352
CYP2D6,tdi,3,1.003489605536921,0.10202551032615724,0.6204977182920451,0.04200060289093547,0.08860852000780894,0.07322251848698291,0.43559848326005723,0.00668487296312694
CYP2D6,tdi_emax,3,0.9522727610440486,0.03239909645659307,0.6021076234961311,0.01631280830306669,0.12938044732233506,0.03156427273674182,0.4319624149464411,0.004642980848978193
CYP3A4,baseline,3,0.52232121427226,0.03127736217487023,0.5458763069547858,0.0205667619506119,0.5915854293915187,0.017405836386368896,0.779604646769139,0.015419589939923657
CYP3A4,tdi,3,0.4809429912427179,0.03291783784748833,0.5352230963055696,0.017371905277346666,0.599175009897854,0.029270492533238986,0.7903046717993636,0.00456409925691897
CYP3A4,tdi_emax,3,0.45654112841622124,0.02648201397626331,0.5192443096280733,0.010482090084748607,0.6182035050590463,0.013881774965707533,0.7983222414296876,0.0045064939019718205
