epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,15,,,0.9510398507118225,0.9510398507118225
0,15,0.974124550819397,,,
1,31,,,0.801027774810791,0.801027774810791
1,31,0.7850806713104248,,,
2,47,,,0.7899844646453857,0.7899844646453857
2,47,0.6275796890258789,,,
3,49,,0.6392868161201477,,
3,63,,,0.7864617109298706,0.7864617109298706
3,63,0.45683228969573975,,,
4,79,,,0.8826320767402649,0.8826320767402649
4,79,0.2702119052410126,,,
5,95,,,0.8483888506889343,0.8483888506889343
5,95,0.18416827917099,,,
6,99,,0.14879432320594788,,
6,111,,,0.8372151851654053,0.8372151851654053
6,111,0.11058379709720612,,,
7,127,,,0.9039333462715149,0.9039333462715149
7,127,0.0640028566122055,,,
8,143,,,0.8472834229469299,0.8472834229469299
8,143,0.055803555995225906,,,
