,chemeleon__lightgbm,chemeleon__rf,chemeleon__xgboost,chemprop_chemeleoninit,chemprop_randominit,ecfp4_narrow__lightgbm,ecfp4_narrow__rf,ecfp4_narrow__xgboost,mordred_pca__lightgbm,mordred_pca__rf,mordred_pca__xgboost,charge_avg,baseline_avg
chemeleon__lightgbm,1.0,0.8447254987327475,0.6593314038330086,0.7151130726786717,0.6264277769315789,0.6215261542120714,0.6118987370602187,0.48742039455866637,0.6432032102775014,0.6178806253750793,0.44698827005686526,0.7447944574500965,0.7347236219458735
chemeleon__rf,0.8447254987327475,1.0,0.7016156217257766,0.6697987102632006,0.6177718606407653,0.6102921941627977,0.6381832944934419,0.4818147679432554,0.645692029281782,0.6803601766093818,0.4788385237777766,0.7483102896037168,0.7188422318801335
chemeleon__xgboost,0.6593314038330086,0.7016156217257766,1.0,0.5864711712105545,0.514964592053093,0.5047466793188895,0.5236657405358115,0.4190730975044013,0.5058048386763393,0.45415724565733295,0.36531699071558327,0.6198020979845612,0.6044953987076757
chemprop_chemeleoninit,0.7151130726786717,0.6697987102632006,0.5864711712105545,1.0,0.7844133969038243,0.6765706002207414,0.7060531044214678,0.569201663033002,0.5859639083308993,0.5268677056701465,0.38099450666048734,0.9280060033084762,0.9669259510779508
chemprop_randominit,0.6264277769315789,0.6177718606407653,0.514964592053093,0.7844133969038243,1.0,0.5994932585273383,0.629043150790674,0.4906625630172646,0.5777438029052074,0.46031073029523933,0.3345959764275038,0.7585472291911435,0.7821640796771944
ecfp4_narrow__lightgbm,0.6215261542120714,0.6102921941627977,0.5047466793188895,0.6765706002207414,0.5994932585273383,1.0,0.8653874550410315,0.7339765324552775,0.4871023860936306,0.47848564691446527,0.31632347401213856,0.6751583234475332,0.687882230567282
ecfp4_narrow__rf,0.6118987370602187,0.6381832944934419,0.5236657405358115,0.7060531044214678,0.629043150790674,0.8653874550410315,1.0,0.7741957881985001,0.5120385896131091,0.4828975175228549,0.32019142272980566,0.706873984872902,0.722104256572733
ecfp4_narrow__xgboost,0.48742039455866637,0.4818147679432554,0.4190730975044013,0.569201663033002,0.4906625630172646,0.7339765324552775,0.7741957881985001,1.0,0.4165451928758244,0.3971206010745122,0.2809439658023383,0.5545740932725414,0.5698548257144874
mordred_pca__lightgbm,0.6432032102775014,0.645692029281782,0.5058048386763393,0.5859639083308993,0.5777438029052074,0.4871023860936306,0.5120385896131091,0.4165451928758244,1.0,0.7484842957948735,0.5866984792947159,0.612153421787235,0.6134861797540184
mordred_pca__rf,0.6178806253750793,0.6803601766093818,0.45415724565733295,0.5268677056701465,0.46031073029523933,0.47848564691446527,0.4828975175228549,0.3971206010745122,0.7484842957948735,1.0,0.6267370882559518,0.5835649384034582,0.5704632386570384
mordred_pca__xgboost,0.44698827005686526,0.4788385237777766,0.36531699071558327,0.38099450666048734,0.3345959764275038,0.31632347401213856,0.32019142272980566,0.2809439658023383,0.5866984792947159,0.6267370882559518,1.0,0.4009918727895586,0.4049903583607788
charge_avg,0.7447944574500965,0.7483102896037168,0.6198020979845612,0.9280060033084762,0.7585472291911435,0.6751583234475332,0.706873984872902,0.5545740932725414,0.612153421787235,0.5835649384034582,0.4009918727895586,1.0,0.9762826413074206
baseline_avg,0.7347236219458735,0.7188422318801335,0.6044953987076757,0.9669259510779508,0.7821640796771944,0.687882230567282,0.722104256572733,0.5698548257144874,0.6134861797540184,0.5704632386570384,0.4049903583607788,0.9762826413074206,1.0
