,chemeleon__lightgbm,chemeleon__rf,chemeleon__xgboost,chemprop_chemeleoninit,chemprop_randominit,ecfp4_narrow__lightgbm,ecfp4_narrow__rf,ecfp4_narrow__xgboost,mordred_pca__lightgbm,mordred_pca__rf,mordred_pca__xgboost
chemeleon__lightgbm,1.0,0.9364519753299698,0.8933753674473252,0.8022126183681827,0.7570656225666362,0.7890441435029842,0.7962354453161079,0.7815932758547937,0.8539093138601137,0.8534097462421716,0.8059169337714036
chemeleon__rf,0.9364519753299698,1.0,0.891175857847622,0.7660604571631087,0.7384607071192135,0.7731102023893318,0.798361260615907,0.7781030606743516,0.8767231936722356,0.906795492711483,0.834920744455081
chemeleon__xgboost,0.8933753674473252,0.891175857847622,1.0,0.7467910503581825,0.71147079344645,0.7417625796794771,0.7530801806959859,0.7379428437026024,0.8119741161387517,0.8169046417919783,0.7672160098388298
chemprop_chemeleoninit,0.8022126183681827,0.7660604571631087,0.7467910503581825,1.0,0.7844770654936482,0.7747149603959591,0.7461316511905183,0.7482240752237426,0.749176263696307,0.7174001989786226,0.6910400516811416
chemprop_randominit,0.7570656225666362,0.7384607071192135,0.71147079344645,0.7844770654936482,1.0,0.7244544859849428,0.7146601861128506,0.7042341862220257,0.7143593109378015,0.6954341202804597,0.6722260791913874
ecfp4_narrow__lightgbm,0.7890441435029842,0.7731102023893318,0.7417625796794771,0.7747149603959591,0.7244544859849428,1.0,0.9245342924513392,0.9200022194340938,0.7781642713242349,0.763107560375512,0.7262392451579855
ecfp4_narrow__rf,0.7962354453161079,0.798361260615907,0.7530801806959859,0.7461316511905183,0.7146601861128506,0.9245342924513392,1.0,0.9255457565401387,0.7997052231060404,0.795434737524834,0.7516555047461001
ecfp4_narrow__xgboost,0.7815932758547937,0.7781030606743516,0.7379428437026024,0.7482240752237426,0.7042341862220257,0.9200022194340938,0.9255457565401387,1.0,0.7792655496730708,0.7722626658627336,0.7310492761203014
mordred_pca__lightgbm,0.8539093138601137,0.8767231936722356,0.8119741161387517,0.749176263696307,0.7143593109378015,0.7781642713242349,0.7997052231060404,0.7792655496730708,1.0,0.9327742098571621,0.8961407736996243
mordred_pca__rf,0.8534097462421716,0.906795492711483,0.8169046417919783,0.7174001989786226,0.6954341202804597,0.763107560375512,0.795434737524834,0.7722626658627336,0.9327742098571621,1.0,0.8951729174545665
mordred_pca__xgboost,0.8059169337714036,0.834920744455081,0.7672160098388298,0.6910400516811416,0.6722260791913874,0.7262392451579855,0.7516555047461001,0.7310492761203014,0.8961407736996243,0.8951729174545665,1.0
