isoform,arm,n_seeds,ST-RAE_mean,ST-RAE_std,MAE_mean,MAE_std,R2_mean,R2_std,Spearman_R_mean,Spearman_R_std
CYP1A2,baseline,3,0.7995457008431005,0.01445108938802095,0.6663279179202429,0.009055141620662297,0.2704033735836516,0.02454953388066914,0.5140601249214852,0.014961634577576408
CYP1A2,deadzone,3,0.7342400752356735,0.0013421805220394064,0.6461609943044019,0.0026413479564193817,0.28935866302233665,0.008333675348711555,0.5475261692251957,0.016591791412704095
CYP1A2,deadzone_aid,3,0.7096490392571471,0.019626940046370132,0.6324591891971673,0.014210819094921565,0.3151957053368411,0.01589483547855114,0.5544570188945414,0.013496124248782663
CYP1A2,mae_only,3,0.7836182915766527,0.03522966090777539,0.6646985498830037,0.018129252125550308,0.2624499648090348,0.03895996810288355,0.5265038995315693,0.036295514994899684
CYP2C9,baseline,3,0.7141788645508806,0.015770246206870876,0.5315100616955304,0.00409292491582309,0.3524359461566647,0.012986431015451938,0.576690594136994,0.022140295817757796
CYP2C9,deadzone,3,0.6223482444903706,0.0097423110021978,0.5091634209223258,0.012979204329321162,0.40355853716456275,0.026038221647170352,0.650116399602637,0.013746233623843584
CYP2C9,deadzone_aid,3,0.5754921571167426,0.03782481852001481,0.492724053756101,0.012824865228278831,0.4269349084302072,0.021115535531050746,0.6589427546028892,0.024221646909776715
CYP2C9,mae_only,3,0.7186481997882493,0.020045866699207958,0.532661462529447,0.0062766982958111645,0.3370371711475748,0.011039512528233276,0.5773969809938924,0.007204463599417797
CYP2D6,baseline,3,0.9599414271513655,0.06258157739443537,0.6022833406270509,0.027491521702606447,0.12506422010360332,0.054496135158756426,0.40561444058810087,0.021956948145378352
CYP2D6,deadzone,3,0.8639489989991406,0.010158209677026978,0.5607073720622485,0.0012697102420840948,0.1931428632729385,0.012136675450284996,0.4721084970355706,0.007732111872958864
CYP2D6,deadzone_aid,3,0.8561452973946327,0.019174270984812863,0.5552786434440701,0.00925758044090411,0.20412958717047422,0.023307824580877153,0.46642134510501715,0.03086978635421089
CYP2D6,mae_only,3,0.8889198642613357,0.012208840035316245,0.570329621168253,0.004557684010228873,0.16519267789628536,0.011323056203722303,0.4393998163793322,0.020491741060669054
CYP3A4,baseline,3,0.52232121427226,0.03127736217487023,0.545876306954786,0.0205667619506119,0.5915854293915187,0.017405836386368896,0.779604646769139,0.015419589939923657
CYP3A4,deadzone,3,0.43685060686208416,0.020535165189054214,0.5073655044050437,0.0038445287098898876,0.6453072266272165,0.004519965151665975,0.8230176286062537,0.006497133240768577
CYP3A4,deadzone_aid,3,0.42728255476119054,0.010917589907917406,0.5112229616731458,0.00705406943484271,0.6439678363959145,0.008474151629294727,0.8234051759162367,0.0055771217277175
CYP3A4,mae_only,3,0.4971212233864517,0.06273109562194978,0.5288060609494897,0.023042175461351972,0.6007958102073553,0.0424583834760586,0.7913875558683388,0.009107969184529103
MACRO,baseline,3,0.7489968017044016,0.02097390874319543,0.5864994067994026,0.007020851488470669,0.33487224230885954,0.019994411815941998,0.5689924516039296,0.01163875294906428
MACRO,deadzone,3,0.6643469813968172,0.005623046586358589,0.555849322923505,0.0043519251061179725,0.3828418225217636,0.010129213950794974,0.6231921736174142,0.009961845995588943
MACRO,deadzone_aid,3,0.6421422621324283,0.021540794496333792,0.547921212017621,0.009998762736330066,0.3975570093333593,0.01427522794476219,0.6258065736296711,0.01751107345815676
MACRO,mae_only,3,0.7220768947531724,0.015999536779718403,0.5741239236325484,0.007643021990988015,0.34136890601506265,0.01905192663314258,0.5836720631932831,0.01588238503063948
