isoform,n_oof_rows,n_repeats,hit_rate_inside_band,width_min,width_median,width_mean,width_max,spearman_width_vs_pic50,p_width_vs_pic50
CYP1A2,7060,5,0.22577903682719547,0.10251425000000047,0.3283299999999998,0.5829243123229462,2.83137425,-0.884741274266344,0.0
CYP2C9,6425,5,0.4172762645914397,0.11898774999999961,0.5257579999999997,0.7078009105058365,2.9054612499999997,-0.8992745671452947,0.0
CYP2D6,7465,5,0.18017414601473544,0.07673699999999961,0.2716082499999999,0.4922010704956463,3.13489475,-0.5583435938265795,0.0
CYP3A4,11675,5,0.3769593147751606,0.06847674999999942,0.3791497500000003,0.8783854547109208,2.82043,-0.9283439929340902,0.0
