isoform,baseline_strae,mae_only_strae,deadzone_strae,loss_function_effect (baseline->mae_only),clipping_effect (mae_only->deadzone),total_effect (baseline->deadzone),pct_of_total_attributable_to_loss_alone
CYP1A2,0.7995457008431005,0.7836182915766527,0.7342400752356735,-0.015927409266447756,-0.049378216340979275,-0.06530562560742703,24.389030988222206
CYP2C9,0.7141788645508806,0.7186481997882493,0.6223482444903706,0.004469335237368699,-0.09629995529787871,-0.09183062006051002,-4.8669335287333535
CYP2D6,0.9599414271513655,0.8889198642613357,0.8639489989991406,-0.07102156289002981,-0.024970865262195163,-0.09599242815222497,73.98663025525688
CYP3A4,0.52232121427226,0.4971212233864517,0.43685060686208416,-0.025199990885808266,-0.06027061652436755,-0.08547060741017581,29.483809287645297
MACRO,0.7489968017044016,0.7220768947531724,0.6643469813968172,-0.026919906951229255,-0.057729913356355134,-0.08464982030758439,31.80149332085151
