isoform,arm,baseline_strae_mean,baseline_strae_spread,mae_only_strae_mean,diff,verdict
CYP1A2,mae_only,0.7995457008431005,0.01445108938802095,0.7836182915766527,-0.015927409266447756,IMPROVES
CYP2C9,mae_only,0.7141788645508806,0.015770246206870876,0.7186481997882493,0.004469335237368699,TIES (UNRESOLVED)
CYP2D6,mae_only,0.9599414271513655,0.06258157739443537,0.8889198642613357,-0.07102156289002981,IMPROVES
CYP3A4,mae_only,0.52232121427226,0.03127736217487023,0.4971212233864517,-0.025199990885808266,TIES (UNRESOLVED)
MACRO,mae_only,0.7489968017044016,0.02097390874319543,0.7220768947531724,-0.026919906951229255,IMPROVES
