isoform,n_compounds,aid_vs_baseline_mean,aid_vs_baseline_std,baseline_seed_floor_mean,baseline_seed_floor_std
CYP1A2,277,0.9093302607199881,0.02279103662245192,0.9223535604713792,0.025588431818198806
CYP2C9,264,0.9103769541698932,0.018362875202721323,0.9316409220478682,0.007586262626830538
CYP2D6,295,0.9268488714981452,0.043564429053926566,0.9266556288764924,0.027108775420438044
CYP3A4,450,0.8437120730275228,0.03348507872781978,0.8698531067186313,0.0061260286395434845
