isoform,n_all,n_real_fit,n_floored,pct_floored,spearman_real_fit_only,p_real_fit_only,spearman_all
CYP1A2,35,33,2,5.7,0.7647871359113905,2.1962589777217067e-07,0.7931245646362551
CYP2C9,20,7,13,65.0,-0.2545875386086578,0.5816680466563958,0.34615340002042505
CYP2D6,49,41,8,16.3,0.7238330771965221,8.89865944043355e-08,0.6809620124434024
CYP3A4,30,8,22,73.3,0.5855400437691199,0.12724658986372087,0.656098049232948
