readout,isoform,n,spearman,spearman_p,pearson,pearson_p,ci_low,ci_high,n_boot_valid
potency,CYP1A2,35,0.7931245646362551,1.3389782227884182e-08,0.7767556584031996,4.121146566024187e-08,0.5688322097807762,0.9285525557822651,2000
potency,CYP2C9,20,0.34615340002042505,0.1349047990838231,0.3680110057946793,0.11039110998319082,-0.07877309562620985,0.671432925421771,2000
potency,CYP2D6,49,0.6809620124434024,7.271725770887476e-08,0.7194127782916316,5.750633630968297e-09,0.4277536612020521,0.8290384212805834,2000
potency,CYP3A4,30,0.656098049232948,8.266254553924757e-05,0.6795120017366784,3.636208028108427e-05,0.3780074824502053,0.8331019468128789,2000
efficacy,CYP1A2,35,0.5417366946778711,0.0007763602075880683,0.6773539818966091,7.856776940926326e-06,0.20811507154167905,0.7869893682855945,2000
efficacy,CYP2C9,20,0.5804511278195488,0.0072900732244842075,0.48621233307557815,0.02972810274861218,0.20545919315857983,0.79428895612708,2000
efficacy,CYP2D6,49,0.6428571428571428,6.339232976868228e-07,0.5623423684799702,2.609243684037288e-05,0.39145042006805175,0.8064186695245196,2000
efficacy,CYP3A4,30,0.4794215795328142,0.007347373069298466,0.42158878963208846,0.020321089519809668,0.07593440297263644,0.7451628166018216,2000
