isoform,arm,n_seeds,ST-RAE_mean,ST-RAE_std,MAE_mean,MAE_std,R2_mean,R2_std,Spearman_R_mean,Spearman_R_std,Kendall_Tau_mean,Kendall_Tau_std
CYP1A2,baseline,3,0.7995457008431005,0.01445108938802095,0.6663279179202429,0.009055141620662297,0.2704033735836516,0.02454953388066914,0.5140601249214852,0.014961634577576408,0.36316141195979607,0.009767195798280942
CYP1A2,aid,3,0.7305801419699932,0.03379737708671901,0.6277756763709844,0.01621980463053723,0.33223490127259325,0.020991017671775164,0.5560436938583718,0.017647428798063417,0.4014142369076675,0.015040983087587917
CYP2C9,baseline,3,0.7141788645508806,0.015770246206870876,0.5315100616955304,0.00409292491582309,0.3524359461566647,0.012986431015451938,0.576690594136994,0.022140295817757796,0.4077183841282981,0.015007115464465532
CYP2C9,aid,3,0.6834415219129241,0.07326163473863623,0.5129472174751691,0.0209811452197238,0.4000236685845624,0.023712864415017586,0.6115468628058125,0.025516292195036715,0.44140666047091,0.019361368327737667
CYP2D6,baseline,3,0.9599414271513655,0.06258157739443537,0.6022833406270509,0.027491521702606447,0.12506422010360332,0.054496135158756426,0.40561444058810087,0.021956948145378352,0.2774660511381331,0.015281704881766063
CYP2D6,aid,3,0.9150112492352772,0.023678053483545954,0.5821996090328091,0.010894040677389642,0.18846720447285126,0.007801469455670965,0.4367523825210404,0.023495099319203704,0.30141595925767306,0.018872345960947907
CYP3A4,baseline,3,0.52232121427226,0.03127736217487023,0.545876306954786,0.0205667619506119,0.5915854293915187,0.017405836386368896,0.779604646769139,0.015419589939923657,0.5828867508521928,0.01477934113517543
CYP3A4,aid,3,0.5170265104285354,0.056933841517094116,0.5333571747303933,0.026770941455594995,0.6147054195129193,0.03268915276545859,0.7948175888817527,0.00823520660394115,0.5988801858233052,0.009469580135574536
