repeat,fold,size,mean,median,min,max
0,0,1139,0.7816557410786337,0.36189407247324556,0.236893446918068,5.0
0,1,1146,0.7698985185477579,0.3576957475325472,0.2361057605841151,5.0
0,2,1112,0.7881539071802042,0.3740359755971882,0.24520780586636354,5.0
0,3,1125,0.7846437538595489,0.3621518558788832,0.23815647793435368,5.0
0,4,1150,0.7632820462018337,0.369645561568824,0.2375558056547328,5.0
1,0,1149,0.8148389648858971,0.3750245608445883,0.24503774404370537,5.0
1,1,1131,0.7700520361998417,0.36465276971066257,0.2372484158449127,5.0
1,2,1111,0.7641018145656575,0.3741696350792463,0.23904672616278133,5.0
1,3,1136,0.7583887254815386,0.35062525494646923,0.23379169792805451,5.0
1,4,1145,0.7877441626467354,0.36291278271212996,0.24094848841636604,5.0
2,0,1123,0.7875084891046956,0.3642859720100581,0.23697519312308948,5.0
2,1,1140,0.8038834033060382,0.3673327955608011,0.24564256878705573,5.0
2,2,1146,0.7520397459019946,0.36615142016014934,0.24079711223054637,5.0
2,3,1132,0.7664537175316863,0.36065492011983946,0.2360450722947555,5.0
2,4,1131,0.7823109373176483,0.36996769422122827,0.23698090132219382,5.0
3,0,1142,0.7849796019704728,0.3623163171840663,0.2379243516486077,5.0
3,1,1136,0.7645704078225413,0.3658926716690677,0.2416331241260645,5.0
3,2,1112,0.7945253958582114,0.37138600682231704,0.2440039363606118,5.0
3,3,1128,0.7759634591372069,0.37060503964153246,0.2364307748084138,5.0
3,4,1154,0.7759369514382581,0.35925652771818745,0.236145236202505,5.0
4,0,1135,0.7577908433548204,0.3573553488660837,0.23460951262957663,5.0
4,1,1133,0.7796526473945387,0.35870182739458883,0.23409347493058377,5.0
4,2,1115,0.7761047661709194,0.3625781594102829,0.23612343954059536,5.0
4,3,1148,0.7868433849197431,0.37262075518668947,0.2456664524046563,5.0
4,4,1141,0.790195593849037,0.3751516075477735,0.2437191825788845,5.0
