epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,24,,,0.9982767701148987,0.9982767701148987
0,24,0.8079014420509338,,,
1,49,,0.7806837558746338,,
1,49,,,1.1411848068237305,1.1411848068237305
1,49,0.6484050750732422,,,
2,74,,,0.9011102914810181,0.9011102914810181
2,74,0.6099900603294373,,,
3,99,,0.3756001591682434,,
3,99,,,2.595167636871338,2.595167636871338
3,99,0.5691754221916199,,,
4,124,,,1.0242013931274414,1.0242013931274414
4,124,0.5238115787506104,,,
5,149,,0.4610729217529297,,
5,149,,,0.7547575831413269,0.7547575831413269
5,149,0.5215007066726685,,,
6,174,,,0.720917820930481,0.720917820930481
6,174,0.49025848507881165,,,
7,199,,0.4185321033000946,,
7,199,,,0.650331974029541,0.650331974029541
7,199,0.43882739543914795,,,
8,224,,,0.851591944694519,0.851591944694519
8,224,0.4316648244857788,,,
9,249,,0.3120754063129425,,
9,249,,,0.7214118242263794,0.7214118242263794
9,249,0.4132705330848694,,,
10,274,,,1.4420965909957886,1.4420965909957886
10,274,0.40635550022125244,,,
11,299,,0.4248526096343994,,
11,299,,,0.5319107174873352,0.5319107174873352
11,299,0.35968127846717834,,,
12,324,,,0.5003858804702759,0.5003858804702759
12,324,0.3283469080924988,,,
13,349,,0.28058764338493347,,
13,349,,,0.5995370149612427,0.5995370149612427
13,349,0.33337676525115967,,,
14,374,,,0.6394152641296387,0.6394152641296387
14,374,0.3239094913005829,,,
15,399,,0.4140379726886749,,
15,399,,,0.6406040191650391,0.6406040191650391
15,399,0.30312395095825195,,,
16,424,,,0.4815700054168701,0.4815700054168701
16,424,0.2919526696205139,,,
17,449,,0.19540299475193024,,
17,449,,,0.5048696398735046,0.5048696398735046
17,449,0.2592267096042633,,,
18,474,,,0.48391079902648926,0.48391079902648926
18,474,0.2530387043952942,,,
19,499,,0.25768229365348816,,
19,499,,,0.6584552526473999,0.6584552526473999
19,499,0.23629122972488403,,,
20,524,,,0.6088893413543701,0.6088893413543701
20,524,0.2236894965171814,,,
21,549,,0.13747672736644745,,
21,549,,,0.5556783676147461,0.5556783676147461
21,549,0.19551225006580353,,,
