lever,config,metric,before_mean,after_mean,delta_mean,shapiro_p,branch,test,p_value,significant
weighting,chemeleon__rf,ST-RAE,0.9020733984933608,0.9788603211868222,0.07678692269346156,0.3310230518110446,parametric,paired t-test,2.421554019230602e-11,True
weighting,chemeleon__rf,R2,0.13580504882976568,0.10512938486972365,-0.030675663960042024,0.15686963305884494,parametric,paired t-test,0.00015964187706938427,True
weighting,chemeleon__lightgbm,ST-RAE,0.9301946778189105,0.9920798717137131,0.061885193894802716,0.4377535986203869,parametric,paired t-test,3.332140704155759e-11,True
weighting,chemeleon__lightgbm,R2,0.10603190585110805,0.053040183165249805,-0.05299172268585825,0.8418858409024039,parametric,paired t-test,1.2647818679707845e-07,True
