CLD,config,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
a,chemprop_chemeleoninit,0.5460557792815691,0.5523195312142167,0.5613039230626804,0.7591945918750145,0.5684482199293553
a,ecfp4_narrow__lightgbm,0.5705990593424926,0.5729738220387196,0.5353254768545995,0.7280103208442115,0.5381410302162221
b,ecfp4_narrow__rf,0.597825155427402,0.5956796767874175,0.5001208378552932,0.7024111262626714,0.5151677437219713
c,ecfp4_narrow__xgboost,0.6120453895666407,0.6019995557149369,0.49204040490792517,0.6963677277869254,0.5098057506774641
c,chemeleon__lightgbm,0.6122978874832263,0.6121223107780961,0.48473127838990593,0.6909304620577913,0.5031254815016923
d,chemprop_randominit,0.6357650685200295,0.6148785400080595,0.45901668599500894,0.7114446206605952,0.5230281979217195
e,chemeleon__rf,0.6520770524107141,0.6521985292024115,0.42705245496797867,0.6584808802114488,0.47568867291820865
f,chemeleon__xgboost,0.6854457435216204,0.6585902705619759,0.4064096862454703,0.6331002737838449,0.4531359714103376
f,mordred_pca__lightgbm,0.6883409842402497,0.6728522004726737,0.3851117435696838,0.6153310023777919,0.4406338641442184
g,mordred_pca__rf,0.7337643087356143,0.7202039585777377,0.320448223357749,0.5898393419689142,0.4188078445828672
g,mordred_pca__xgboost,0.7698887291283146,0.7196535996368116,0.30400559504648145,0.5447286449838361,0.3832431885803482
h,naive_mean,1.0023043912754288,0.8963960421939641,-0.004918383497919902,0.0,0.0
