config,repeat,fold,bootstrap_seed,CYP1A2_ST-RAE,CYP1A2_MAE,CYP1A2_R2,CYP1A2_Spearman_R,CYP1A2_Kendall_Tau,CYP2C9_ST-RAE,CYP2C9_MAE,CYP2C9_R2,CYP2C9_Spearman_R,CYP2C9_Kendall_Tau,CYP2D6_ST-RAE,CYP2D6_MAE,CYP2D6_R2,CYP2D6_Spearman_R,CYP2D6_Kendall_Tau,CYP3A4_ST-RAE,CYP3A4_MAE,CYP3A4_R2,CYP3A4_Spearman_R,CYP3A4_Kendall_Tau,MA_ST-RAE,MA_MAE,MA_R2,MA_Spearman_R,MA_Kendall_Tau
chemeleon__lightgbm,0,0,2684470948,0.865666793659106,0.7131049202933641,0.1674918049046337,0.4172663757383791,0.2929520988237373,0.8380549193156138,0.58942946804301,0.231710836994859,0.5063784350380752,0.3535988487248229,0.8997131797035374,0.5733541113605923,0.142849689572304,0.4008187956681443,0.27787610529290613,0.6091169019249177,0.6051674636907418,0.49376064814473153,0.7006679763133604,0.5086660388960974,0.8031379486507938,0.6202639908469271,0.2589532449041321,0.5062828956894898,0.35827327293439093
chemeleon__lightgbm,0,1,4091952314,0.9624639626216346,0.6859674606695243,0.08254203967176338,0.3329814098321395,0.2256424704872489,0.769853859134472,0.4888852482649669,0.23068163015612728,0.4841247967407073,0.33669562246255735,0.9402770705914483,0.6172975746846786,0.1472406573143201,0.3638168290019618,0.24824143556323217,0.575112489649261,0.5686231014434441,0.5219490746459255,0.715400845821489,0.5279647939802142,0.811926845499204,0.5901933462656535,0.24560335044703407,0.47408097034907437,0.3346360806233131
chemeleon__lightgbm,0,2,233227757,0.8194693870001902,0.702635852443489,0.2198526766718304,0.4399696595403363,0.3010588256028799,0.8527871654036198,0.5041345472694014,0.21504788837774091,0.45460471352830095,0.31911765759932537,1.002464362300593,0.5911694469231714,0.05987233752418384,0.29660853091754236,0.198033968485984,0.638505713233338,0.6001660263074137,0.4474382185379798,0.6625155619206266,0.4816373365596739,0.8283066569844352,0.599526468235869,0.23555278027793375,0.4634246164767015,0.3249619470619658
chemeleon__lightgbm,0,3,3276785861,0.9740496693628589,0.6855622912443049,0.06593096311340611,0.293379038253195,0.20115434435842774,0.7906435920723892,0.543815949748676,0.2420538745864662,0.5036370086074095,0.3460422616728426,0.9635162681662862,0.6530358467139324,0.07249214001726038,0.26412139185051825,0.17871514736291033,0.6240351231479122,0.6373141541690253,0.5025187533324753,0.6967439967184079,0.508220103622481,0.8380611631873617,0.6299320604689846,0.220748932762402,0.43947035885738267,0.30853296425416543
chemeleon__lightgbm,0,4,3644269654,0.9012331051015638,0.6986443871393345,0.15212019022189988,0.44025298485291436,0.30456127360162194,0.7861296550456118,0.4860388576033628,0.30351257102509804,0.5367577284789421,0.37617298806360866,0.9393948121044619,0.6012378629924712,0.17640148922312854,0.3962076734544802,0.2709141420949691,0.5913882763668483,0.6286224162005007,0.48005854804012504,0.6917577751000296,0.5040889864674454,0.8045364621546215,0.6036358809839173,0.27802319962756294,0.5162440404715916,0.3639343475569113
chemeleon__lightgbm,1,0,1206282609,0.9446379110810608,0.6673404258183043,0.1120212208288166,0.387804047364744,0.26547735435970643,0.7625724161872467,0.5359910170081952,0.24407366519095358,0.5171486700014801,0.3657047150820958,0.9271091515484438,0.6591144644611805,0.13026367766012997,0.3575043886263466,0.2511694638094438,0.5646324434682771,0.5992983328746687,0.5044794379738766,0.7116532638486942,0.517356063134204,0.799737980571257,0.6154360600405873,0.2477095004134442,0.49352759246031624,0.3499268990963625
chemeleon__lightgbm,1,1,3543069911,0.8915861546661099,0.7243759949144283,0.19102995405300538,0.45246931210670877,0.3115955505742273,0.7607366393408681,0.5122601516910739,0.269457532272153,0.5058232049784428,0.3557303532418081,0.9922618265188884,0.5928894628581766,0.06341752314662641,0.30113735273306824,0.20428620722231544,0.5770144758511195,0.5813269761828459,0.5184992570170944,0.7204698138092908,0.5311636206536366,0.8053997740942465,0.6027131464116311,0.2606010666222198,0.4949749209068776,0.35069393292299683
chemeleon__lightgbm,1,2,3479688010,0.8653520773471987,0.7190657612821966,0.13722572764184798,0.4232219012849597,0.29394642944688076,0.7822485245084893,0.5479450375183957,0.2467452731161861,0.4999529099132988,0.3490027884679889,0.9460880174425347,0.5813645824052895,0.08850880769295627,0.34413756749341506,0.23290341198726866,0.604218025211131,0.6426918411839717,0.4993883416392048,0.7062971096831144,0.516189489516224,0.7994766611273384,0.6227668055974634,0.2429670375225488,0.49340237209369703,0.3480105298545906
chemeleon__lightgbm,1,3,877132087,0.9642201813202177,0.6879372106841153,0.09301405291495887,0.34008299500690603,0.23256320677180917,0.8348785510106226,0.5019137072148496,0.19729706770163732,0.45577680271249305,0.3167012323834479,0.9470862271709726,0.6306166483266527,0.13509326865380494,0.3935911533401688,0.263926631007452,0.6788343587955054,0.6246485490731907,0.43111102990010725,0.6407586845768422,0.46021769672876706,0.8562548295743296,0.6112790288247021,0.21412885479262708,0.4575524089091025,0.318352191722869
chemeleon__lightgbm,1,4,1244265337,0.8695924087323641,0.690752912155766,0.1617445309579544,0.4109743537817655,0.27970655577350406,0.8235554641018397,0.49050706684991363,0.1997145501783958,0.45143439517693223,0.31959641753692336,0.947691799127725,0.5859685958828182,0.1019888017711539,0.3544599645917735,0.24247521009352346,0.6230716776461447,0.6196568781242165,0.4592343174167453,0.6820647121067734,0.49225420691287397,0.8159778374020183,0.5967213632531785,0.23067055008106235,0.4747333564143112,0.3335080975792062
