isoform,std_train,std_04b,std_nb10,spread_ratio,blind_r2_decline,winning_combo,cv_starae_margin,cv_starae_pvalue,std_ratio_to_train_04b,std_ratio_to_train_nb10,blind_starae_decline,blind_starae_04b,blind_starae_nb10
CYP1A2,1.0304762090703399,0.8458790314227371,0.5383754027377136,0.6364685525212584,0.07729999999999998,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf+ecfp4_narrow__lightgbm,-0.0662491749177,6.298245138915644e-09,0.8208622615226217,0.5224530154106297,0.0736,0.7114,0.785
CYP2C9,0.7822945488735998,0.7609713092472717,0.7784046837213967,1.022909371565361,-0.0009000000000000119,,,,0.9727426969074108,0.9950276207883539,0.008100000000000107,0.5408,0.5489
CYP2D6,0.9160961500266338,0.6371583477523073,0.42806329975475993,0.6718318943239645,0.31720000000000004,chemeleon__rf+chemprop_chemeleoninit,-0.0196182405894892,2.7897239996401452e-06,0.6955147096009333,0.4672689648813771,0.27,1.1903,1.4603
CYP3A4,1.0932193183824241,1.0125196089345823,0.9345931008946986,0.9230370381449883,0.06130000000000002,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,-0.0431550025631227,2.027235058846894e-07,0.9261815922103821,0.8548999136582804,0.09620000000000001,0.4291,0.5253
