config,repeat,fold,bootstrap_seed,CYP1A2_ST-RAE,CYP1A2_MAE,CYP1A2_R2,CYP1A2_Spearman_R,CYP1A2_Kendall_Tau,CYP2C9_ST-RAE,CYP2C9_MAE,CYP2C9_R2,CYP2C9_Spearman_R,CYP2C9_Kendall_Tau,CYP2D6_ST-RAE,CYP2D6_MAE,CYP2D6_R2,CYP2D6_Spearman_R,CYP2D6_Kendall_Tau,CYP3A4_ST-RAE,CYP3A4_MAE,CYP3A4_R2,CYP3A4_Spearman_R,CYP3A4_Kendall_Tau,MA_ST-RAE,MA_MAE,MA_R2,MA_Spearman_R,MA_Kendall_Tau
chemprop_chemeleoninit,0,0,2684470948,0.8996892355420841,0.644261501237007,0.22426913600110351,0.44879854257897966,0.31442673953392736,0.7076839397762532,0.48288621154372513,0.37058596783174147,0.5834597431249036,0.41977752044277006,1.1047412852718987,0.6460826062997154,0.01909012508684445,0.2740557196184694,0.18701400874133206,0.5126139807481798,0.5640881760168809,0.5646323048487262,0.7721911497527544,0.576720028608143,0.806182110334604,0.5843296237743322,0.2946443834421039,0.5196262887687768,0.37448457433154314
chemprop_chemeleoninit,0,1,4091952314,0.9430927214708695,0.7383078136818411,0.1855085578742215,0.5643532263973619,0.3901055978289616,0.6885089893265798,0.44463366345705235,0.39397263282882383,0.6272891659986672,0.45508942817004516,0.9904871414262967,0.580552609740746,0.11680966054718482,0.4224397861208022,0.2921412150195713,0.5104564125767244,0.511085366466545,0.5989807492911206,0.767372959522034,0.5761438043089782,0.7831363162001176,0.5686448633365461,0.3238179001353377,0.5953637845097163,0.428370011331889
chemprop_chemeleoninit,0,2,233227757,0.7549507909597428,0.6052277323078981,0.32690850786774267,0.5252151144569345,0.36835038335675524,0.7186282993037646,0.4838334177694307,0.3868594763401511,0.6341647840207838,0.4561793566949906,1.1976274485963267,0.6654020737055545,-0.05481383910971638,0.24190519952946474,0.160457238392567,0.5469868843571167,0.5294433748788983,0.557173414742085,0.7579954331255992,0.5694294881005444,0.8045483558042378,0.5709766496654454,0.3040318899600656,0.5398201327831955,0.3886041166362143
chemprop_chemeleoninit,0,3,3276785861,0.9103576240999749,0.6451476906022455,0.20909918729796956,0.48124194319317654,0.3394035795513697,0.6034787814338842,0.465756725525896,0.38961311328920345,0.6501430786917535,0.46859896138800233,0.9104067964801839,0.5916322460639877,0.1110456800767515,0.3886391847022749,0.2671702592821241,0.715805897586433,0.6675892621191358,0.4381967616865539,0.6929612792741664,0.5030104397534183,0.785012274900119,0.5925314810778163,0.28698868558761964,0.5532463714653428,0.39454580999372857
chemprop_chemeleoninit,0,4,3644269654,0.7881693187142192,0.6913101575731924,0.2635578975362077,0.5113340484109598,0.3603593061182283,0.6311674879832677,0.4687842839534516,0.40322819041331615,0.6644199974718762,0.4783447163680967,0.8874209612728039,0.6791573763614878,0.17605817686749228,0.47633470228497266,0.32920981430015744,0.47777481573240277,0.5587359601729567,0.5958864088883901,0.7794836550085571,0.5866636203426095,0.6961331459256733,0.599496944515272,0.35968266842635155,0.6078931007940914,0.438644364282273
chemprop_chemeleoninit,1,0,1206282609,0.7365995618918841,0.6247752141533419,0.41505657246422506,0.6217833785542333,0.4491691541639529,0.6369947230663155,0.486845709879313,0.4717213883762237,0.6607153071072216,0.47761405969543613,1.0411866573199333,0.6485592696792317,-0.020560855527712276,0.33794940529983514,0.23010655759298362,0.5719440061077,0.548800211109095,0.578239424899965,0.7547649491497126,0.5578469127333792,0.7466812370964583,0.5772451012052454,0.36111413255317537,0.5938032600277506,0.4286841710464379
chemprop_chemeleoninit,1,1,3543069911,0.8932077756750028,0.724413027152759,0.2673673510137188,0.5728296880194915,0.40017956137405297,0.6264313727323615,0.455696874135156,0.3343791009704961,0.6386954070576759,0.4664139627120764,0.9212236892459429,0.6120522495208085,0.15677477574153065,0.4326668859132018,0.2955635113378009,0.64060539208133,0.6538691458604593,0.4348974338390206,0.7030701801341485,0.5166512897858379,0.7703670574336593,0.6115078241672957,0.29835466539119154,0.5868155402811294,0.419702081302442
chemprop_chemeleoninit,1,2,3479688010,0.9450053657308062,0.6367829766382631,0.1768087443191898,0.4610570345585479,0.3176217046913287,0.7244085971108349,0.4485677080766654,0.3677037665345978,0.6101314638903067,0.43548591302261874,1.1248176268193903,0.6746344748356495,0.026654390048357634,0.3556711476876673,0.24214169496465643,0.5144230902530968,0.5232376220740501,0.6262533674965568,0.7708088632304392,0.5759627277587255,0.8271636699785321,0.570805695406157,0.2993550670996755,0.5494171273417403,0.39280301010933233
chemprop_chemeleoninit,1,3,877132087,0.831293452754229,0.6346034653649053,0.22469930079224,0.48624179383139854,0.3427603230362792,0.6685886464970453,0.4270554899630085,0.4069252948055406,0.6649723475714027,0.488901524639355,0.968580297085229,0.5746146336790178,0.20543104787869076,0.4457390437435744,0.30927327045356945,0.6039779504018112,0.5304623153854666,0.5784409272302773,0.7862510465911126,0.5925678291343164,0.7681100866845786,0.5416839760980996,0.3538741426766872,0.595801057934372,0.43337573681588004
chemprop_chemeleoninit,1,4,1244265337,0.9868882898788018,0.7113901723336096,0.16571713236809438,0.3979943583117078,0.27683659329862503,0.677509342050816,0.4546437688356612,0.36441325333235003,0.6248606357836944,0.44797513323256916,0.9998054327797814,0.6423805584152684,0.07377840111031518,0.36456963130012904,0.2507498360425576,0.526414816249186,0.5635895983226302,0.5759986191961968,0.7686922055097467,0.5717552212257893,0.7976544702396463,0.5930010244767924,0.2949768515017391,0.5390292077263196,0.38682919594988524
chemprop_chemeleoninit,2,0,2740186692,0.9620457195326029,0.6640727858000225,0.1999557946776535,0.5594516907729745,0.39004747255562844,0.6586694288122323,0.47105515310253493,0.3980152907351834,0.6132286629410786,0.4377370977795712,0.9694643472544495,0.5845576764254191,0.10058504490169362,0.37446446784142423,0.25856088106190944,0.5564565169515232,0.5526841757416626,0.5753748678769318,0.7582469936504566,0.5661949632474769,0.786659003137702,0.5680924477674097,0.3184827495478656,0.5763479538014835,0.4131351036611465
chemprop_chemeleoninit,2,1,3884972972,0.8668738241623625,0.7219823683179644,0.2110690393822344,0.45108209654024284,0.31659520424916693,0.5998324958294887,0.4267770247843986,0.4673170975344271,0.6803287646367785,0.49172804611880044,1.0959523797594115,0.631621696206153,0.0020441228761760074,0.36202205847926977,0.24603415589652863,0.5174277324006433,0.5537937699555312,0.5910246719408898,0.7624234667460169,0.5729204217378991,0.7700216080379765,0.5835437148160119,0.3178637329334318,0.563964096600577,0.4068194570005988
chemprop_chemeleoninit,2,2,829139639,0.9706831929224854,0.7015055322910965,0.22434548635189008,0.475615946276434,0.33238296466488515,0.671681472745875,0.4492718975808849,0.29846068319997937,0.5873132871147722,0.4184709496225449,0.9540417037386153,0.641920491871535,0.14469141963082802,0.4286408718695753,0.2957922013718369,0.6076948485678735,0.547001763982185,0.516777526252635,0.716083524624605,0.5295304894341679,0.8010253044937122,0.5849249214314254,0.29606877885883315,0.5519134074713467,0.3940441512733587
chemprop_chemeleoninit,2,3,2545567356,0.8599894956255845,0.6395927626826159,0.24725800581498777,0.4854318474419596,0.3417779030782898,0.7411668716868574,0.4975151540721589,0.32867797810375227,0.6269033307436319,0.4535509495017629,1.0078859408076983,0.6585770449960537,0.06057445128899057,0.30309777342774125,0.2066026613181295,0.5595501379418387,0.6025868516166005,0.5378308994121265,0.7767899843996205,0.579082893775673,0.7921481115154948,0.5995679533418572,0.29358533365496425,0.5480557340032383,0.3952536019184638
