submission,status,mu_t_chosen,mu_t_mirror,lower_candidate,sigma_t,used_in_override,original_final_mean,original_final_sd,original_n_submissions_used,external_precedent_mean
04b,OK,5.838101212098256,3.192463163635078,3.192463163635078,1.5152095976132942,True,5.830283551985792,1.5143463778798743,2,3.107
10c,OK,5.8224658918733265,3.19486086679334,3.19486086679334,1.5134831581464543,True,5.830283551985792,1.5143463778798743,2,3.107
NB10,AMBIGUOUS,6.293761942225178,3.132026953612103,3.132026953612103,1.5012958960950553,True,5.830283551985792,1.5143463778798743,2,3.107
NB12,AMBIGUOUS,6.129309070811909,3.103697703166868,3.103697703166868,1.515660118501271,True,5.830283551985792,1.5143463778798743,2,3.107
FINAL (mean of all 4 lower-root candidates),OVERRIDE_FINAL,,,3.1557621718018476,1.511412192589019,True,5.830283551985792,1.5143463778798743,2,3.107
