isoform,n_folds,aid_vs_baseline_mean,aid_vs_baseline_std,baseline_fold_floor_mean,baseline_fold_floor_std,n_floor_pairs
CYP1A2,25,0.9022390014877998,0.022825170613523755,0.9043786601203975,0.009535571201594123,10
CYP2C9,25,0.8805804868115054,0.023846883549146037,0.8913272383650348,0.008112765800050556,10
CYP2D6,25,0.9333710888464728,0.02440311891241104,0.9194729426410071,0.0093137768131761,10
CYP3A4,25,0.8498323055377998,0.02475538260484604,0.8666541556597094,0.0072209498601329344,10
