repeat,fold,arm,seed,Endpoint,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
0,0,aid,2684470948,CYP1A2_pIC50_direct_inhibition,0.7256065416118673,0.6197035937814585,0.3500606094910203,0.5680401059076301,0.4116892821611961
0,0,aid,2684470948,CYP2C9_pIC50_direct_inhibition,0.6037060277663553,0.488732388666803,0.4264014920059835,0.628203109325096,0.4573607818477795
0,0,aid,2684470948,CYP2D6_pIC50_direct_inhibition,0.9373376623913574,0.5922425488532679,0.1855219238691685,0.455209238564517,0.3160621526340772
0,0,aid,2684470948,CYP3A4_pIC50_direct_inhibition,0.4838955549315074,0.5074024032774644,0.6437816296743641,0.8039077329074913,0.6095624097612015
0,0,aid,2684470948,MA,0.6876364466752718,0.5520202336447485,0.4014414137601341,0.6138400466761836,0.4486686566010636
0,0,baseline,2684470948,CYP1A2_pIC50_direct_inhibition,0.7883875412504711,0.6590054097361588,0.2948648621590517,0.5275029724617273,0.3713799188489253
0,0,baseline,2684470948,CYP2C9_pIC50_direct_inhibition,0.7113010720512997,0.52776904450625,0.3609008657998886,0.5834375096996,0.4111687371604242
0,0,baseline,2684470948,CYP2D6_pIC50_direct_inhibition,0.9580366078313584,0.5985335031988949,0.1649620484436273,0.4170427188170808,0.2829618630421196
0,0,baseline,2684470948,CYP3A4_pIC50_direct_inhibition,0.4910353465586046,0.5297021102416467,0.6053608924698222,0.7945810954766308,0.5973362177353275
0,0,baseline,2684470948,MA,0.7371901419229334,0.5787525169207376,0.3565221672180975,0.5806410741137598,0.4157116841966991
0,1,aid,4091952314,CYP1A2_pIC50_direct_inhibition,0.8353228295722307,0.599540934444945,0.3012101941350008,0.5583066898533662,0.3922358677546343
0,1,aid,4091952314,CYP2C9_pIC50_direct_inhibition,0.7405744624954356,0.4509523557413561,0.399385865476111,0.6421848255334407,0.4630895397855059
0,1,aid,4091952314,CYP2D6_pIC50_direct_inhibition,0.8589964878083239,0.5772960339878979,0.2176151280058987,0.4677777625675526,0.3220412947417916
0,1,aid,4091952314,CYP3A4_pIC50_direct_inhibition,0.5587285946771788,0.5478583782561447,0.5658589057102826,0.7540109909680414,0.5625824730446666
0,1,aid,4091952314,MA,0.7484055936382923,0.5439119256075858,0.3710175233318233,0.6055700672306003,0.4349872938316496
0,1,baseline,4091952314,CYP1A2_pIC50_direct_inhibition,0.8722179044172848,0.6225281618992308,0.2278823807880343,0.4829578431420939,0.3371615623851629
0,1,baseline,4091952314,CYP2C9_pIC50_direct_inhibition,0.5837758682625701,0.4157436796525431,0.4415787407955715,0.6529226310109133,0.477403270575647
0,1,baseline,4091952314,CYP2D6_pIC50_direct_inhibition,0.9569560493130124,0.6232304488143768,0.1172109514036275,0.3739562452131203,0.2525017849257075
0,1,baseline,4091952314,CYP3A4_pIC50_direct_inhibition,0.6102207129107592,0.5636109517323823,0.5149248957725148,0.7275898690392696,0.5404788380688245
0,1,baseline,4091952314,MA,0.7557926337259067,0.5562783105246333,0.325399242189937,0.5593566471013492,0.4018863639888355
0,2,aid,233227757,CYP1A2_pIC50_direct_inhibition,0.7450444787435714,0.6460048114558851,0.389576125471386,0.5991526476596608,0.424281630652382
0,2,aid,233227757,CYP2C9_pIC50_direct_inhibition,0.9244802597514372,0.5027692127310661,0.2499679979269821,0.5961276903165702,0.4277950394565941
0,2,aid,233227757,CYP2D6_pIC50_direct_inhibition,0.9129101967292292,0.5538225790718504,0.1422414788753909,0.4541071046072517,0.3146687933010085
0,2,aid,233227757,CYP3A4_pIC50_direct_inhibition,0.6754553979546534,0.5716265868085927,0.5207672415368486,0.7468846440633982,0.5566332740451969
0,2,aid,233227757,MA,0.8144725832947227,0.5685557975168486,0.3256382109526519,0.5990680216617202,0.4308446843637953
0,2,baseline,233227757,CYP1A2_pIC50_direct_inhibition,0.797198501136896,0.6824312296844843,0.2962798044198623,0.5295306918544868,0.3721697676849029
0,2,baseline,233227757,CYP2C9_pIC50_direct_inhibition,0.712247861397181,0.4611437779200616,0.2867120828824728,0.5789877011052802,0.4174937190226958
0,2,baseline,233227757,CYP2D6_pIC50_direct_inhibition,0.9722095973933632,0.5710648237978131,0.143616053089068,0.4511943241181652,0.3136582206946339
0,2,baseline,233227757,CYP3A4_pIC50_direct_inhibition,0.6697772788735936,0.5684423668820596,0.5096079085246555,0.7398149090450402,0.5536813361032494
0,2,baseline,233227757,MA,0.7878583097002585,0.5707705495711046,0.3090539622290147,0.5748819065307431,0.4142507608763705
0,3,aid,3276785861,CYP1A2_pIC50_direct_inhibition,0.8491388648221408,0.6096302568064194,0.3268874069084875,0.6220094426638945,0.4401472226992142
