config,repeat,fold,bootstrap_seed,CYP1A2_ST-RAE,CYP1A2_MAE,CYP1A2_R2,CYP1A2_Spearman_R,CYP1A2_Kendall_Tau,CYP3A4_ST-RAE,CYP3A4_MAE,CYP3A4_R2,CYP3A4_Spearman_R,CYP3A4_Kendall_Tau
chemeleon__lightgbm,0,0,2684470948,0.9389638945694029,0.6595623227110604,0.11264144691129437,0.324431160340772,0.22528531616501915,0.6318889950365469,0.6558969823395188,0.44952639653718923,0.656937540791023,0.4758371248161734
chemeleon__lightgbm,0,1,4091952314,0.7859111100297266,0.676915296195318,0.2283577713030843,0.4720766267217938,0.32297868508285693,0.5988674762376881,0.5509242642990764,0.5342815315521987,0.6961056633145911,0.5111359275904249
chemeleon__lightgbm,0,2,233227757,0.8487518065461576,0.665432761066115,0.20169081730559543,0.41300912750238344,0.28435465912613656,0.6654687327997203,0.6062636886713597,0.4524735174825366,0.6868402615663074,0.49318571261738064
chemeleon__lightgbm,0,3,3276785861,1.0605502495820942,0.7266893056248616,0.06961138686711374,0.358259685383098,0.24350026134890382,0.7151898442420285,0.683123062569095,0.3723156970968194,0.6279633857942829,0.45137504685480495
chemeleon__lightgbm,0,4,3644269654,0.830473422866666,0.7157707611649834,0.19367629910700718,0.46409044505036917,0.32144837830190826,0.6223020898572783,0.6462745243676942,0.48369573153831197,0.6821404489491499,0.49551161943362243
chemeleon__lightgbm,1,0,1206282609,0.8827194335850529,0.7198999037882736,0.19279533006208707,0.4773959909049563,0.32750641471507136,0.6742041631577288,0.6216234949931104,0.4596655320105171,0.6606581903710248,0.47831263502319055
chemeleon__lightgbm,1,1,3543069911,0.8807224635823947,0.7386636046594447,0.18226304253888936,0.4377928992177598,0.30817131859279934,0.6775663446880872,0.685727283958962,0.42245344405131596,0.6414057790764023,0.461497806295611
chemeleon__lightgbm,1,2,3479688010,0.9399776110027572,0.6536168459014018,0.057213754981994894,0.3415832975080113,0.23476562485454042,0.6572314942198535,0.6232239187037708,0.47365568123419816,0.6665523234935891,0.4831610023610357
chemeleon__lightgbm,1,3,877132087,0.8939665503558261,0.6750406707012985,0.13065691216168523,0.3782357437393773,0.2588355861561843,0.6187745582355623,0.5786970817106161,0.4830902232713061,0.7026115052821461,0.5116617783383084
chemeleon__lightgbm,1,4,1244265337,0.8994832860556135,0.6710048728457575,0.19401196740163018,0.4106308945754881,0.287369358803243,0.5872022643774001,0.6289692167231404,0.4778474065944708,0.7053858689231576,0.5157474357656865
